"region_id","2020","2021","2022","2023","2024"
"BE10","31.3","31.5","34.3","37.8","34.1"
"BE21","69.4","64.8","67.8","66.2","68.0"
"BE22","30.8","34.2","35.2","34.6","36.7"
"BE23","59.0","59.0","58.3","56.9","59.4"
"BE24","30.8","29.2","32.9","40.7","38.9"
"BE25","48.1","47.0","44.9","47.0","51.1"
"BE31","10.2","11.9","10.3","8.1","10.3"
"BE32","40.1","37.2","35.2","40.7","45.9"
"BE33","38.6","39.4","35.9","40.0","41.2"
"BE34","12.1","11.6","11.5","10.7","11.3"
"BE35","14.0","14.1","13.4","13.2","15.0"
"BG31","29.5","29.1","27.6","24.3","25.8"
"BG32","26.8","25.1","23.3","25.5","23.4"
"BG33","54.8","56.7","52.5","52.6","50.4"
"BG34","45.9","50.8","53.4","49.2","46.2"
"BG41","86.6","93.7","97.6","95.4","90.3"
"BG42","66.4","65.4","64.5","60.5","61.8"
"CZ01","61.6","64.8","56.5","55.4","64.2"
"CZ02","68.9","71.5","74.8","71.7","74.3"
"CZ03","65.7","66.3","65.2","64.5","65.8"
"CZ04","59.6","60.0","58.4","63.5","64.6"
"CZ05","71.6","69.8","69.7","62.4","66.7"
"CZ06","85.4","91.7","86.7","83.8","87.5"
"CZ07","53.1","49.3","53.6","51.5","54.3"
"CZ08","53.8","59.2","56.8","51.3","56.3"
"DK01","49.4","48.8","53.3","59.4","53.4"
"DK02","40.8","43.5","41.1","45.1","39.2"
"DK03","46.5","51.8","49.3","51.3","51.7"
"DK04","48.1","52.0","56.0","52.9","57.7"
"DK05","25.8","27.3","27.6","28.6","27.4"
"DE11","143.3","142.9","152.9","150.2","144.0"
"DE12","86.6","88.7","99.3","95.4","101.0"
"DE13","80.1","85.5","79.5","92.8","104.1"
"DE14","72.9","77.6","78.8","78.8","83.6"
"DE21","165.7","136.4","160.3","163.0","160.2"
"DE22","60.0","63.9","67.7","65.3","62.6"
"DE23","58.1","42.1","43.8","49.0","48.8"
"DE24","43.2","39.2","41.1","44.7","41.0"
"DE25","59.0","52.0","62.6","75.0","70.2"
"DE26","47.8","59.6","55.0","53.5","55.2"
"DE27","76.2","81.9","73.8","86.5","85.2"
"DE30","98.0","98.8","96.6","117.1","121.3"
"DE40","120.0","132.2","133.7","131.4","140.7"
"DE60","46.1","50.1","57.4","52.6","51.5"
"DE71","123.3","115.7","141.5","157.2","151.2"
"DE72","31.8","31.1","39.5","48.5","45.4"
"DE73","35.5","42.9","42.2","46.6","48.3"
"DE80","78.7","74.1","79.2","82.8","75.1"
"DE91","38.5","42.5","48.2","55.4","48.8"
"DE92","69.6","65.1","74.3","81.9","84.4"
