"region_id","2020","2021","2022","2023","2024"
"BE10","16.9","17.7","19.2","17.0","16.7"
"BE21","28.4","31.2","25.0","24.1","24.3"
"BE22","6.6","6.6","7.4","8.5","7.8"
"BE23","18.8","29.1","28.7","20.4","16.7"
"BE24","26.2","26.9","24.0","24.2","25.8"
"BE25","11.5","9.4","9.7","11.8","10.3"
"BE31","11.4","8.7","9.4","11.1","9.1"
"BE32","11.0","11.3","12.3","12.7","12.3"
"BE33","10.7","9.9","7.4","8.3","10.1"
"BE34","7.6","6.7","6.7","7.2","7.4"
"BE35","5.3","6.0","5.1","6.2","8.0"
"BG32","4.4","6.7","6.3","4.9","4.5"
"BG33","5.5","5.7","6.5","7.4","7.6"
"BG34","4.9","5.5","5.0","5.8","6.3"
"BG41","33.9","32.5","35.4","31.9","35.6"
"BG42","6.0","6.2","7.1","8.7","7.8"
"CZ01","36.2","42.7","43.9","44.8","50.2"
"CZ02","15.2","18.6","17.2","18.0","19.5"
"CZ03","9.8","8.3","7.7","8.0","8.5"
"CZ04","6.6","6.9","7.2","7.4","7.6"
"CZ05","14.7","16.3","13.1","12.8","13.6"
"CZ06","16.5","16.2","16.3","18.6","16.7"
"CZ07","8.6","8.0","8.4","7.8","7.2"
"CZ08","8.2","9.0","8.4","9.7","8.2"
"DK01","44.0","43.4","41.5","46.5","41.0"
"DK02","10.3","10.9","10.5","10.4","10.7"
"DK03","10.0","10.1","9.3","10.4","10.0"
"DK04","13.6","13.3","14.7","13.5","16.1"
"DK05","3.8","5.0","7.0","5.7","4.7"
"DE11","76.8","73.4","83.6","80.8","75.0"
"DE12","48.9","40.8","42.0","42.7","42.1"
"DE21","109.2","92.7","101.5","108.8","103.3"
"DE30","42.9","33.8","47.1","46.7","53.1"
"DE40","25.9","27.3","28.1","27.8","28.2"
"DE60","35.9","35.5","38.0","32.6","32.0"
"DE71","138.6","114.0","123.4","138.2","127.2"
"DE92","47.7","42.9","45.1","48.3","44.7"
