"region_id","2020","2021","2022","2023","2024"
"BE10","31.2","36.4","35.0","36.9","38.9"
"BE21","46.1","47.6","49.8","52.5","53.7"
"BE22","17.6","17.6","17.6","16.9","17.2"
"BE23","36.0","42.1","42.2","43.3","45.6"
"BE24","35.3","37.9","40.1","36.7","37.0"
"BE25","13.6","17.5","15.8","15.8","18.6"
"BE31","14.9","17.2","20.1","16.0","14.9"
"BE32","17.8","24.5","24.6","22.1","24.0"
"BE33","16.7","18.6","22.4","17.5","15.6"
"BE34","3.8","5.5","5.8","4.8","4.8"
"BE35","10.7","12.4","14.0","13.5","12.6"
"BG31","4.2","4.2","4.6","5.3","5.4"
"BG32","7.5","7.8","7.8","9.0","8.5"
"BG33","5.0","5.5","7.8","7.9","9.5"
"BG34","4.9","4.3","5.6","5.5","6.1"
"BG41","83.9","88.4","98.5","102.0","99.0"
"BG42","17.0","18.3","16.9","20.6","20.8"
"CZ01","72.8","92.9","76.0","85.1","85.7"
"CZ02","33.3","39.6","41.9","36.9","36.9"
"CZ03","23.7","23.9","24.3","22.4","24.6"
"CZ04","10.9","15.0","12.8","11.0","8.2"
"CZ05","30.4","30.9","30.9","29.4","30.0"
"CZ06","48.0","47.9","43.7","46.9","49.4"
"CZ07","21.6","22.4","21.9","19.3","20.1"
"CZ08","23.3","24.8","25.9","22.4","22.7"
"DK01","95.4","99.9","111.6","112.9","115.7"
"DK02","17.3","18.0","21.4","24.2","27.2"
"DK03","13.0","13.6","14.5","13.8","14.2"
"DK04","28.8","29.4","25.2","30.5","27.1"
"DK05","8.4","7.7","9.0","10.8","10.6"
"DE11","125.4","132.7","131.5","150.5","137.9"
"DE12","109.3","112.4","121.8","126.3","130.8"
"DE13","62.3","69.4","69.5","79.1","79.3"
"DE14","54.9","62.3","65.0","70.8","77.8"
"DE21","205.9","219.7","225.2","241.4","235.4"
"DE23","43.9","41.0","29.4","28.5","32.0"
"DE25","54.8","58.4","61.9","68.0","75.2"
"DE27","47.5","37.0","38.9","46.0","52.1"
"DE30","196.2","180.5","187.9","180.9","181.1"
"DE40","46.3","42.4","49.0","49.4","53.7"
"DE60","63.8","67.2","66.2","68.2","69.7"
"DE71","148.0","129.3","141.5","149.2","145.2"
"DE72","26.4","24.7","22.3","21.5","25.2"
"DE91","42.5","36.6","40.1","38.7","44.1"
"DE92","48.4","46.9","46.3","50.7","49.4"
"DE93","32.3","21.9","25.3","28.3","31.0"
"DE94","30.5","31.4","34.1","37.4","43.5"
"DEA1","114.6","116.1","109.4","123.0","115.8"
"DEA2","153.6","140.2","153.3","172.1","160.7"
"DEA3","46.9","38.7","47.0","45.1","42.7"
"DEA4","31.8","41.6","41.3","46.0","49.2"
"DEA5","67.2","59.9","71.4","73.4","80.5"
"DEB1","26.3","26.1","30.7","30.8","29.6"
"DEB3","59.9","65.2","58.7","62.6","75.9"
"DED2","52.0","53.5","46.7","59.7","55.7"
"DED5","26.5","27.1","34.7","30.9","32.2"
"DEE0","33.6","31.5","26.6","25.0","32.9"
"DEF0","55.5","64.0","53.6","57.5","54.3"
"DEG0","40.9","45.3","41.1","48.8","49.4"
"EE00","36.4","42.4","46.2","45.4","46.4"
"IE04","22.7","23.9","24.5","31.6","31.7"
"IE05","65.7","76.1","80.9","80.4","82.7"
"IE06","121.7","146.8","155.2","155.3","162.5"
"EL30","86.2","92.4","95.9","98.3","91.9"
"EL43","2.6","2.1","4.3","4.4","5.4"
"EL51","2.5","1.3","2.7","2.0","3.6"
"EL52","15.0","17.1","20.6","19.8","18.9"
"EL61","1.8","2.4","3.6","2.6","2.2"
"EL63","3.9","3.9","3.4","5.3","4.4"
"EL64","2.1","1.8","1.8","2.3","3.0"
"ES11","31.5","35.0","39.5","35.4","39.4"
"ES12","13.4","14.7","13.8","15.1","13.4"
"ES13","5.2","5.7","6.0","10.0","9.2"
"ES21","37.5","44.6","55.1","49.3","47.2"
"ES22","8.1","7.5","8.6","8.9","12.2"
"ES23","1.5","2.6","3.9","3.5","3.4"
"ES24","13.7","14.6","19.1","18.4","21.6"
"ES30","247.1","258.6","282.5","271.6","304.3"
"ES41","24.6","24.2","23.5","29.8","31.6"
"ES42","18.5","18.1","21.6","31.4","30.4"
"ES43","6.1","11.1","9.9","9.7","9.5"
"ES51","177.4","182.5","202.9","204.6","244.4"
"ES52","54.1","57.0","71.1","83.6","90.8"
"ES53","8.8","7.2","13.2","14.3","17.4"
"ES61","68.5","83.6","99.6","103.7","114.0"
