"region_id","2020","2021","2022","2023","2024"
"BE10","50.3","55.5","45.9","46.8","53.6"
"BE21","122.4","131.2","134.2","135.3","136.7"
"BE22","64.6","65.7","67.4","67.3","68.1"
"BE23","115.1","107.0","109.9","108.0","115.1"
"BE24","72.3","70.6","64.8","62.0","66.3"
"BE25","91.9","94.1","91.6","88.3","88.7"
"BE31","21.4","22.2","23.6","24.6","21.4"
"BE32","73.7","77.8","65.4","72.2","81.0"
"BE33","68.0","67.2","68.3","61.0","63.9"
"BE34","16.0","17.6","18.0","18.5","19.7"
"BE35","32.0","31.9","29.2","30.4","36.4"
"BG31","21.1","21.3","19.9","23.3","25.0"
"BG32","17.4","15.4","16.9","15.5","17.4"
"BG33","19.8","20.1","25.3","24.1","24.6"
"BG34","20.5","22.2","20.9","20.0","22.7"
"BG41","50.6","49.0","52.7","55.6","50.4"
"BG42","34.8","32.2","30.8","35.7","40.5"
"CZ01","47.9","51.4","54.0","51.4","50.8"
"CZ02","46.9","43.8","50.0","43.9","44.7"
"CZ03","45.1","51.0","46.6","47.1","46.9"
"CZ04","42.5","42.1","43.7","46.0","46.6"
"CZ05","57.0","52.4","56.0","56.1","61.2"
"CZ06","64.8","60.9","64.6","65.7","74.3"
"CZ07","45.8","45.8","44.7","46.0","49.4"
"CZ08","53.0","53.1","45.5","45.2","55.1"
"DK01","161.2","167.6","174.3","179.7","183.8"
"DK02","75.7","76.7","79.9","83.1","82.4"
"DK03","108.6","111.1","110.3","110.0","112.5"
"DK04","118.0","120.2","125.9","127.9","131.1"
"DK05","53.5","56.8","58.1","58.2","58.0"
"DE11","227.3","226.8","248.9","253.6","256.8"
"DE12","170.1","187.9","177.6","175.8","195.1"
"DE13","148.5","151.6","172.6","181.3","191.6"
"DE14","135.7","144.6","142.3","142.2","148.7"
"DE21","272.8","279.9","284.0","320.5","326.7"
"DE22","85.0","88.7","80.0","73.6","78.4"
"DE23","93.3","76.3","73.5","83.2","85.2"
"DE24","83.6","81.7","79.9","78.7","73.6"
"DE25","102.9","105.3","107.4","132.0","140.3"
"DE26","74.6","106.7","106.3","98.7","93.2"
"DE27","135.9","131.2","122.3","126.7","122.8"
"DE30","229.0","225.4","239.9","245.4","255.8"
"DE40","190.4","188.6","188.3","178.6","199.1"
