"region_id","2020","2021","2022","2023","2024"
"BE10","26.4","29.4","26.3","26.7","28.6"
"BE21","30.8","37.6","39.0","36.6","39.8"
"BE22","13.1","15.2","15.2","13.4","13.3"
"BE23","24.8","34.3","30.8","29.8","34.1"
"BE24","29.0","30.1","34.4","31.4","28.6"
"BE25","10.0","12.8","11.9","12.5","14.7"
"BE31","9.0","11.5","14.5","12.4","8.9"
"BE32","9.9","14.2","15.9","15.2","14.1"
"BE33","11.6","16.2","17.1","13.8","12.9"
"BE34","3.4","5.1","5.4","3.9","4.3"
"BE35","6.9","6.9","8.6","7.9","6.4"
"BG32","4.2","4.4","4.4","5.8","5.8"
"BG33","5.2","5.4","7.4","7.4","9.0"
"BG34","4.1","3.7","4.4","3.7","5.1"
"BG41","64.5","68.3","83.1","88.3","87.3"
"BG42","8.0","9.8","9.1","13.5","14.3"
"CZ01","65.2","81.7","70.1","71.1","76.5"
"CZ02","25.7","28.0","27.5","24.6","23.6"
"CZ03","10.8","11.0","11.1","11.5","14.3"
"CZ04","7.6","10.7","7.5","6.4","6.7"
"CZ05","15.3","17.1","14.0","14.2","15.3"
"CZ06","29.2","31.9","31.3","34.4","33.2"
"CZ07","9.5","10.4","12.6","8.8","9.6"
"CZ08","16.5","19.2","20.7","18.1","17.8"
"DK01","64.2","69.2","75.6","69.8","65.4"
"DK02","10.3","9.6","12.2","15.1","15.1"
"DK03","11.6","13.1","13.5","13.3","13.2"
"DK04","22.2","23.6","20.3","25.4","23.3"
"DK05","6.6","6.5","7.5","9.2","9.1"
"DE11","95.8","89.8","87.8","107.8","96.2"
"DE12","85.3","77.8","90.4","80.3","88.3"
"DE13","31.3","29.8","32.6","33.9","33.0"
"DE14","29.1","28.5","30.8","33.4","36.5"
"DE21","144.7","151.5","170.0","173.3","173.2"
"DE25","42.6","41.7","44.1","51.3","52.2"
"DE27","34.7","28.9","27.7","34.2","37.6"
"DE30","177.1","159.8","157.9","142.3","148.2"
"DE40","36.3","30.3","37.8","35.3","40.7"
"DE60","60.5","60.0","58.6","66.2","62.3"
"DE71","94.4","89.5","100.9","109.1","104.2"
"DE92","37.6","35.6","35.0","39.0","36.9"
"DE94","28.5","26.8","29.5","30.6","34.9"
"DEA1","93.8","86.4","84.8","94.8","96.5"
"DEA2","122.7","110.7","121.2","134.8","129.9"
"DEA3","44.8","37.9","42.0","40.5","39.0"
"DEA4","28.5","31.8","32.4","31.6","36.2"
"DEA5","51.0","47.5","54.6","58.4","59.7"
"DEB3","40.1","41.8","34.6","35.3","47.8"
"DEF0","41.0","42.6","38.0","43.2","38.9"
"EE00","29.6","31.9","36.5","36.6","40.0"
"IE04","13.9","14.8","12.9","19.1","19.5"
"IE05","26.9","34.3","39.2","36.9","40.9"
"IE06","92.0","103.9","115.5","117.9","122.9"
"EL30","72.2","77.3","78.2","73.7","77.2"
"EL52","12.9","11.9","14.0","14.8","13.2"
"EL63","3.4","3.1","2.3","4.3","3.3"
"ES11","25.8","28.5","34.1","30.7","35.0"
"ES12","12.2","13.0","11.6","14.3","12.7"
"ES13","4.9","4.5","5.0","7.6","6.1"
"ES21","26.7","35.2","47.4","39.5","39.8"
"ES22","5.3","5.3","5.5","6.6","7.3"
"ES23","1.7","2.5","3.4","3.5","2.9"
"ES24","9.5","10.9","12.7","12.1","15.6"
"ES30","216.6","224.8","242.6","227.4","253.2"
"ES41","18.9","19.2","18.6","22.3","22.7"
"ES42","16.0","14.7","17.2","24.8","23.7"
"ES43","5.2","9.7","8.1","9.0","8.6"
"ES51","129.4","140.2","140.3","145.0","176.0"
"ES52","48.1","44.1","59.1","69.2","73.8"
"ES53","8.3","8.2","12.8","14.2","17.7"
"ES61","56.9","70.8","89.6","96.2","104.5"
"ES62","9.7","11.7","11.3","11.7","12.5"
"ES70","17.0","22.4","17.4","18.4","18.5"
