"region_id","2020","2021","2022","2023","2024"
"BE10","25.9","30.8","29.9","32.4","32.2"
"BE21","31.5","35.0","35.9","36.2","39.6"
"BE22","14.0","14.4","13.9","13.2","13.3"
"BE23","28.4","36.3","34.2","33.2","38.9"
"BE24","30.6","34.7","37.8","33.8","32.1"
"BE25","10.1","13.6","12.3","11.7","14.4"
"BE31","8.9","11.3","13.5","10.6","8.3"
"BE32","10.3","14.9","16.7","15.8","16.0"
"BE33","10.6","15.1","16.4","13.8","12.8"
"BE34","3.5","5.0","5.3","4.1","4.4"
"BE35","7.3","7.8","9.4","9.8","8.8"
"BG32","3.8","4.0","4.1","5.6","5.3"
"BG33","5.0","5.2","7.4","7.8","9.3"
"BG34","4.1","3.7","4.8","4.4","5.3"
"BG41","67.4","70.9","82.5","88.3","89.2"
"BG42","7.9","9.8","9.3","14.1","14.4"
"CZ01","64.6","80.8","67.3","74.6","76.4"
"CZ02","25.2","29.0","31.5","26.3","25.7"
"CZ03","11.9","12.7","13.4","13.9","16.7"
"CZ04","7.1","11.0","8.8","8.1","6.1"
"CZ05","16.5","17.1","15.1","15.8","17.3"
"CZ06","32.4","35.1","32.4","38.0","37.5"
"CZ07","9.9","11.0","13.1","9.9","10.4"
"CZ08","16.3","18.4","19.8","17.6","18.0"
"DK01","62.3","64.9","75.2","72.9","65.9"
"DK02","10.0","9.9","11.4","13.7","15.8"
"DK03","10.7","11.4","13.3","12.4","12.3"
"DK04","23.0","23.3","20.3","24.7","23.4"
"DK05","6.8","5.4","6.5","8.8","8.7"
"DE11","89.0","83.7","84.8","105.9","93.9"
"DE12","86.8","82.3","95.3","94.0","98.8"
"DE13","32.0","30.6","32.5","35.2","37.1"
"DE21","154.5","154.2","168.4","182.7","177.6"
"DE25","41.4","42.0","43.6","50.5","52.8"
"DE27","30.3","23.1","23.1","27.0","32.0"
"DE30","175.6","159.5","160.9","156.8","159.0"
"DE40","37.3","32.5","38.5","39.1","44.7"
"DE60","57.0","57.6","56.3","60.7","60.1"
"DE71","101.2","85.9","102.5","111.7","105.1"
"DE91","33.5","30.3","33.4","30.4","35.3"
"DE92","38.4","35.6","35.8","40.5","38.1"
"DE94","25.3","24.2","29.1","29.6","36.2"
"DEA1","93.4","88.3","87.7","94.3","96.4"
"DEA2","128.4","117.7","131.3","150.5","140.7"
"DEA3","41.0","34.0","42.1","38.5","37.3"
"DEA5","49.2","44.8","55.9","59.8","61.8"
"DEB3","40.7","45.3","38.6","38.7","53.7"
"DED2","31.1","34.5","30.0","35.7","32.8"
"DEF0","42.5","44.2","37.4","42.2","40.4"
"DEG0","25.3","24.8","24.7","25.8","28.6"
"EE00","29.1","32.2","37.2","36.8","40.4"
"IE04","13.8","16.5","14.1","20.0","21.1"
"IE05","28.9","36.0","41.1","38.7","41.8"
"IE06","92.0","105.9","115.8","117.7","124.9"
"EL30","65.8","71.1","71.1","73.5","76.6"
"EL43","2.6","1.8","3.8","4.4","5.2"
"EL52","12.6","11.9","14.6","15.8","14.2"
"EL63","3.3","3.0","2.6","4.7","3.1"
