"region_id","2020","2021","2022","2023","2024"
"BE10","22.6","22.3","24.4","21.8","20.0"
"BE21","112.7","105.4","103.5","106.5","106.6"
"BE22","60.4","56.0","63.0","58.5","62.0"
"BE23","115.5","105.6","103.2","110.8","104.1"
"BE24","39.5","32.7","36.5","38.9","47.8"
"BE25","89.4","87.9","92.6","92.5","90.7"
"BE31","17.2","17.0","17.4","15.1","17.1"
"BE32","51.9","52.9","46.8","46.8","44.5"
"BE33","53.5","47.1","52.1","57.5","54.1"
"BE34","11.7","13.1","13.8","14.0","11.5"
"BE35","15.0","16.0","14.2","13.4","15.1"
"BG31","55.7","58.7","58.4","55.9","55.9"
"BG32","86.4","79.3","81.4","86.0","80.6"
"BG33","45.5","46.2","47.6","44.0","39.0"
"BG34","83.6","79.8","80.6","86.1","88.5"
"BG41","127.9","130.9","123.0","119.2","108.8"
"BG42","143.5","140.8","143.5","144.6","130.0"
"CZ01","54.4","53.5","54.3","55.8","56.9"
"CZ02","161.0","158.2","152.9","147.3","165.2"
"CZ03","189.1","183.3","179.5","170.3","173.3"
"CZ04","148.8","141.4","136.8","128.7","133.5"
"CZ05","243.7","245.1","240.6","228.7","225.7"
"CZ06","231.9","219.5","224.8","210.9","203.8"
"CZ07","202.2","193.3","186.8","186.5","174.4"
"CZ08","166.3","162.1","162.3","149.6","141.5"
"DK01","71.0","71.2","72.7","74.4","90.0"
"DK02","36.0","39.5","41.5","41.5","42.9"
"DK03","82.5","85.1","85.3","86.7","79.9"
"DK04","91.9","95.0","98.6","97.1","93.6"
"DK05","39.9","39.9","37.7","37.0","37.3"
"DE11","669.5","647.6","661.8","626.4","579.2"
"DE12","346.0","332.7","326.3","334.2","336.3"
"DE13","303.8","325.4","335.1","323.8","331.1"
"DE14","320.2","309.4","314.9","310.0","316.0"
"DE21","499.2","477.4","462.8","466.5","476.1"
"DE22","194.0","202.1","169.9","139.8","174.7"
"DE23","175.8","169.0","158.8","148.2","153.8"
"DE24","157.3","147.3","153.1","148.8","143.7"
"DE25","196.3","204.4","198.2","207.7","232.7"
"DE26","172.2","179.6","184.6","177.1","182.3"
"DE27","288.1","272.2","256.0","253.5","264.2"
"DE30","133.5","131.2","149.1","142.7","139.7"
"DE40","137.6","148.7","145.8","139.6","140.2"
"DE50","42.0","42.6","43.6","44.2","49.7"
"DE60","98.2","101.1","94.3","95.3","107.0"
"DE71","318.1","305.8","283.6","255.0","278.0"
"DE72","99.5","105.3","109.7","104.0","101.9"
"DE73","130.9","123.6","114.3","125.7","118.9"
"DE80","78.4","75.7","78.3","68.9","71.8"
"DE91","192.4","193.7","180.8","172.4","175.6"
"DE92","193.4","185.0","178.5","180.2","167.8"
"DE93","130.1","123.2","135.8","134.5","129.7"
"DE94","248.0","249.0","230.1","229.2","234.2"
"DEA1","418.3","405.5","394.2","403.0","393.1"
"DEA2","333.6","318.7","321.0","307.1","317.5"
"DEA3","256.0","223.5","213.0","210.8","204.0"
"DEA4","259.4","255.0","241.1","244.3","234.7"
"DEA5","387.4","366.6","372.2","350.7","354.3"
"DEB1","139.4","140.3","159.3","133.6","135.7"
"DEB2","42.7","40.3","45.1","47.1","43.9"
"DEB3","242.9","225.2","203.5","202.4","192.6"
"DEC0","91.4","95.7","93.9","92.8","94.7"
"DED2","157.5","145.4","138.0","143.1","138.0"
"DED4","150.9","158.1","153.5","142.1","144.7"
"DED5","59.3","61.9","76.4","72.4","61.5"
"DEE0","159.4","156.7","156.9","145.4","143.2"
"DEF0","199.3","211.5","195.6","185.4","179.6"
"DEG0","222.7","221.1","215.2","229.1","204.8"
"EE00","119.3","118.4","123.2","119.8","110.9"
"IE04","56.2","60.0","60.9","64.2","63.3"
"IE05","108.9","114.7","117.6","117.9","121.2"
"IE06","96.9","107.4","109.7","105.0","104.8"
"EL30","146.2","147.8","140.9","147.0","154.4"
"EL41","2.9","3.3","2.6","2.3","2.9"
"EL42","4.0","6.0","6.1","7.0","7.4"
"EL43","14.0","13.5","20.8","16.7","15.5"
"EL51","21.5","22.2","22.0","23.9","21.3"
"EL52","80.2","85.5","95.4","89.4","87.7"
"EL53","4.5","5.1","6.7","9.2","8.2"
"EL54","7.5","7.6","12.8","12.8","14.3"
"EL61","22.5","28.4","35.9","25.3","26.7"
