"region_id","2020","2021","2022","2023","2024"
"BE10","71.2","73.2","82.8","86.0","83.0"
"BE21","43.9","42.7","48.2","48.1","46.9"
"BE22","24.8","27.6","28.0","25.9","28.4"
"BE23","55.7","54.8","61.7","59.5","60.3"
"BE24","50.2","57.3","55.8","52.5","53.8"
"BE25","34.9","36.5","34.9","37.5","36.2"
"BE31","20.6","21.3","21.3","26.1","27.3"
"BE32","63.5","70.0","70.4","63.7","58.8"
"BE33","48.7","52.9","50.0","51.2","51.7"
"BE34","11.3","12.0","12.8","13.3","14.5"
"BE35","28.2","28.1","29.5","30.7","27.3"
"BG31","23.1","21.8","21.6","21.6","24.0"
"BG32","17.9","18.0","20.6","17.7","19.6"
"BG33","21.5","20.4","21.7","23.4","24.2"
"BG34","32.3","32.0","31.3","33.5","38.6"
"BG41","77.9","82.5","73.0","70.1","70.9"
"BG42","43.3","39.4","35.0","36.6","42.6"
"CZ01","51.8","54.9","47.8","40.5","45.8"
"CZ02","51.8","49.3","46.4","46.0","51.0"
"CZ03","41.4","41.5","42.4","40.5","41.2"
"CZ04","37.0","39.0","37.0","33.2","42.3"
"CZ05","48.0","45.3","47.1","45.7","45.5"
"CZ06","50.5","51.9","50.4","45.4","44.6"
"CZ07","38.3","34.6","38.1","33.2","37.4"
"CZ08","30.1","28.0","33.3","32.4","36.9"
"DK01","66.5","66.4","69.2","69.3","69.6"
"DK02","20.9","19.2","21.2","23.2","23.6"
"DK03","23.4","27.2","28.0","30.6","36.1"
"DK04","27.6","28.7","30.0","32.3","32.8"
"DK05","18.6","19.2","14.5","16.6","15.1"
"DE11","148.4","124.4","122.3","123.5","123.3"
"DE12","103.0","90.4","82.5","82.5","81.0"
"DE13","77.8","71.9","72.3","68.9","67.1"
"DE14","65.6","59.9","64.0","58.2","55.0"
"DE21","190.2","167.1","171.9","173.2","165.7"
"DE22","48.7","49.1","56.0","47.4","43.4"
"DE23","56.5","52.0","43.4","40.3","43.4"
"DE24","45.7","44.5","42.9","41.5","39.8"
"DE25","52.8","60.9","64.7","77.6","74.2"
"DE26","47.9","45.9","47.3","44.8","45.7"
"DE27","69.1","62.7","57.4","57.1","54.5"
"DE30","174.7","191.1","177.0","158.7","152.4"
"DE40","135.0","151.1","139.9","142.2","133.0"
"DE60","51.4","57.6","58.0","50.9","49.3"
"DE71","137.0","146.3","136.2","143.4","139.3"
"DE72","37.9","37.5","39.4","42.1","48.1"
"DE73","60.4","56.3","49.1","45.7","43.8"
"DE80","76.0","77.1","75.1","71.1","79.2"
"DE91","64.4","61.4","59.6","52.4","52.1"
"DE92","95.5","100.7","85.2","92.9","92.1"
"DE93","82.7","71.1","72.6","75.2","83.5"
"DE94","108.0","87.8","98.8","92.0","86.6"
"DEA1","205.0","200.2","188.3","191.3","184.4"
"DEA2","199.7","208.7","197.5","185.7","193.2"
"DEA3","114.6","113.0","103.4","92.7","95.1"
"DEA4","68.3","65.0","60.0","62.9","69.4"
"DEA5","149.1","139.4","131.8","128.3","120.7"
"DEB1","67.4","65.9","72.3","72.6","72.1"
"DEB3","94.5","94.6","84.7","88.1","97.3"
"DEC0","51.2","44.0","40.4","38.3","37.2"
"DED2","63.6","59.2","57.7","64.0","65.2"
"DED4","42.0","41.8","37.1","35.5","43.0"
"DED5","33.5","34.3","39.2","38.3","32.4"
"DEE0","96.8","93.3","90.5","86.7","85.4"
"DEF0","133.1","144.4","127.4","119.5","133.9"
"DEG0","84.6","77.6","72.0","76.2","78.0"
"EE00","41.9","43.5","42.8","41.3","39.5"
"IE04","20.3","22.8","25.7","22.5","23.6"
"IE05","31.1","31.7","35.7","37.8","42.5"
"IE06","67.8","76.3","75.0","81.7","85.1"
"EL30","137.4","167.2","164.1","166.3","153.5"
"EL41","12.8","11.6","9.7","9.5","9.7"
"EL42","9.9","9.9","10.3","11.9","12.0"
"EL43","18.3","20.2","17.8","16.9","15.1"
"EL51","28.7","27.7","27.0","22.3","23.9"
"EL52","45.5","49.5","53.7","50.8","50.4"
"EL53","12.4","9.9","6.0","6.4","7.6"
"EL54","10.0","10.5","9.7","11.1","13.8"
"EL61","22.8","29.1","27.5","21.1","18.1"
"EL62","5.0","3.5","3.3","4.1","3.0"
