"region_id","2020","2021","2022","2023","2024"
"BE10","414.9","424.5","448.8","465.8","457.8"
"BE21","623.4","633.6","682.5","681.1","683.2"
"BE22","282.8","290.7","298.1","311.9","302.8"
"BE23","522.2","557.1","574.1","560.0","572.1"
"BE24","434.9","440.8","439.1","428.2","431.5"
"BE25","384.0","394.0","401.6","408.1","402.6"
"BE31","139.4","142.0","150.9","158.2","151.6"
"BE32","376.7","387.6","394.9","398.3","413.1"
"BE33","328.5","334.0","333.3","313.4","325.7"
"BE34","96.4","99.1","99.7","96.4","102.3"
"BE35","165.8","160.7","166.5","171.3","175.3"
"BG31","147.0","142.7","146.9","153.4","158.8"
"BG32","171.9","164.8","164.2","156.7","165.8"
"BG33","231.3","234.3","251.2","256.3","279.8"
"BG34","233.8","227.5","237.9","245.1","254.9"
"BG41","752.9","739.3","764.6","754.8","762.7"
"BG42","313.4","302.8","306.9","325.4","338.7"
"CZ01","579.8","586.1","562.9","554.3","588.4"
"CZ02","443.7","440.3","446.2","429.2","433.7"
"CZ03","322.5","329.1","330.4","323.3","339.9"
"CZ04","292.8","298.5","300.3","294.3","289.8"
"CZ05","390.7","382.5","384.9","380.3","392.3"
"CZ06","481.6","483.5","483.1","483.8","500.6"
"CZ07","299.1","311.4","309.8","307.8","316.1"
"CZ08","327.7","316.2","324.4","326.3","333.8"
"DK01","825.1","831.9","872.2","876.8","885.6"
"DK02","305.3","300.6","304.4","312.1","323.3"
"DK03","424.0","433.7","440.8","437.7","452.0"
"DK04","493.7","491.8","504.8","518.6","531.3"
"DK05","199.1","204.9","213.1","212.1","217.8"
"DE11","1353.5","1315.0","1426.3","1467.1","1471.7"
"DE12","1029.9","966.9","954.0","993.2","1015.7"
"DE13","718.3","734.6","752.3","794.0","825.9"
"DE14","612.8","630.7","647.3","648.8","646.3"
"DE21","1764.3","1690.5","1820.2","1934.6","1936.2"
"DE22","405.4","426.2","437.4","402.4","406.4"
"DE23","421.1","372.4","363.1","367.5","363.6"
"DE24","397.2","363.5","390.0","389.0","350.9"
"DE25","524.7","543.2","627.0","696.1","708.1"
"DE26","388.5","485.7","483.5","446.8","441.3"
"DE27","682.4","635.1","620.4","637.8","649.0"
"DE30","1589.3","1525.0","1588.0","1579.2","1608.4"
"DE40","919.0","903.4","918.3","923.6","932.6"
"DE50","245.7","253.8","255.6","263.0","260.2"
"DE60","803.5","762.8","795.4","817.7","818.1"
"DE71","1558.4","1488.3","1583.5","1634.9","1587.7"
"DE72","352.9","349.4","354.8","350.3","402.0"
"DE73","417.8","414.6","400.0","427.7","429.4"
"DE80","584.1","565.0","553.2","562.7","566.7"
"DE91","544.4","529.7","559.2","522.9","529.3"
"DE92","798.2","803.6","813.3","835.7","846.6"
"DE93","595.0","593.3","611.4","623.1","638.0"
"DE94","844.1","809.6","889.4","893.7","908.1"
"DEA1","1806.0","1863.8","1951.0","1990.2","1962.2"
"DEA2","1650.9","1649.5","1729.0","1742.6","1770.7"
"DEA3","987.9","871.0","926.2","921.9","951.0"
"DEA4","666.3","645.5","669.8","729.0","772.8"
"DEA5","1176.3","1191.2","1240.1","1246.4","1223.4"
"DEB1","454.7","485.4","561.1","532.9","531.8"
"DEB2","183.3","167.9","185.4","211.6","197.7"
"DEB3","767.9","749.1","711.0","758.1","796.9"
"DEC0","341.4","341.4","352.7","356.7","350.8"
"DED2","554.7","528.7","528.2","566.3","566.5"
"DED4","419.9","415.5","393.5","367.0","404.0"
"DED5","359.8","365.2","416.8","436.7","415.3"
"DEE0","703.6","687.2","698.1","697.5","710.0"
"DEF0","1069.8","1066.0","1103.8","1119.7","1127.7"
"DEG0","665.0","665.2","670.9","649.6","675.0"
"EE00","434.7","444.5","465.4","486.1","491.7"
"IE04","269.9","287.4","307.1","325.3","328.0"
"IE05","517.6","550.8","595.5","622.6","649.0"
"IE06","961.9","1014.1","1076.5","1123.0","1148.3"
"EL30","1245.9","1275.5","1328.5","1312.2","1324.0"
"EL41","56.1","51.5","54.8","53.7","52.4"
"EL42","95.9","97.3","98.8","103.9","107.5"
"EL43","160.8","152.7","171.0","175.2","177.7"
"EL51","131.7","124.1","138.1","137.0","139.1"
"EL52","459.8","451.6","469.8","477.4","512.6"
"EL53","52.9","56.5","53.2","55.7","57.1"
"EL54","79.3","72.8","77.6","84.7","85.4"
"EL61","166.9","170.4","175.1","164.4","162.9"
"EL62","56.5","54.1","56.9","61.3","59.5"
"EL63","133.1","144.3","155.8","164.3","167.3"
"EL64","106.0","104.2","115.3","118.3","121.8"
"EL65","134.4","123.5","131.9","128.8","130.2"
"ES11","746.8","770.6","791.0","808.4","804.3"
"ES12","292.6","293.3","288.4","295.1","304.1"
"ES13","167.6","178.9","181.8","187.3","194.9"
"ES21","667.6","685.6","703.3","727.8","736.9"
"ES22","177.8","179.8","190.5","196.4","202.4"
"ES23","87.4","87.1","85.8","86.5","88.2"
"ES24","380.1","393.3","410.4","419.6","426.9"
"ES30","2584.0","2680.9","2724.4","2811.2","2910.3"
"ES41","673.1","682.6","719.2","711.9","724.5"
"ES42","561.3","591.5","607.6","628.1","627.3"
"ES43","272.2","279.8","297.3","302.7","308.0"
"ES51","2499.0","2620.2","2686.4","2824.8","2902.9"
"ES52","1487.2","1534.4","1630.4","1714.9","1749.7"
"ES53","430.3","439.1","472.7","493.3","495.8"
"ES61","2258.8","2366.2","2509.2","2617.2","2664.8"
"ES62","411.6","439.4","453.6","474.5","481.1"
"ES63","26.1","23.4","25.2","25.8","26.8"
"ES64","28.2","27.3","26.1","25.3","25.8"
"ES70","731.4","705.2","800.7","836.9","862.3"
"FR10","4626.7","4690.4","4860.2","4957.0","4941.0"
"FRB0","720.9","767.6","763.0","781.2","801.7"
"FRC1","473.4","477.0","498.0","476.5","463.8"
"FRC2","325.2","294.5","322.0","328.7","326.2"
"FRD1","393.8","396.0","413.7","432.5","420.9"
"FRD2","515.5","504.3","546.5","594.5","543.0"
"FRE1","1142.6","1223.9","1239.6","1236.1","1238.9"
"FRE2","562.4","559.0","572.0","563.9","551.0"
"FRF1","576.0","564.8","600.4","621.1","604.8"
"FRF2","315.1","338.6","349.0","362.8","364.6"
"FRF3","673.1","668.7","688.5","677.6","684.4"
"FRG0","1088.9","1114.7","1154.3","1178.7","1191.6"
"FRH0","957.2","1034.2","1062.3","1095.5","1098.3"
"FRI1","1065.9","1119.4","1146.0","1200.2","1244.8"
"FRI2","201.3","206.8","204.2","212.9","206.6"
"FRI3","524.4","494.1","503.3","507.8","534.8"
"FRJ1","865.1","852.2","917.9","915.1","903.9"
"FRJ2","986.2","988.2","1053.9","1029.3","1052.2"
"FRK1","376.9","379.7","414.2","419.6","390.2"
"FRK2","2060.0","2128.9","2215.2","2240.1","2292.8"
"FRL0","1615.9","1623.3","1677.6","1697.1","1692.8"
"FRM0","112.5","96.3","103.0","118.3","118.7"
"FRY1","97.9","96.1","91.7","96.8","97.5"
"FRY2","102.9","100.0","100.9","104.9","97.7"
"FRY3","51.7","50.6","54.8","58.7","55.7"
"FRY4","219.7","218.8","227.2","229.9","233.7"
"HR02","204.9","212.5","213.6","209.2","228.1"
"HR03","373.0","356.6","378.5","399.6","421.1"
"HR05","279.8","277.5","276.8","284.5","297.2"
"HR06","165.9","174.6","191.3","197.4","203.8"
"ITC1","1138.3","1131.9","1165.0","1166.6","1208.1"
"ITC2","40.6","40.0","41.7","43.7","43.9"
"ITC3","459.8","458.0","477.0","493.0","490.1"
"ITC4","2901.1","2870.5","2925.1","3031.9","3080.3"
"ITF1","318.7","324.4","324.7","337.1","346.6"
"ITF2","71.2","67.4","70.8","74.8","76.7"
"ITF3","1166.3","1174.8","1213.6","1252.6","1283.9"
"ITF4","832.3","831.3","870.7","878.8","877.3"
"ITF5","121.5","120.5","121.6","125.2","129.2"
"ITF6","375.4","363.0","375.4","397.5","397.9"
"ITG1","996.3","972.6","999.3","1040.7","1098.3"
"ITG2","435.2","439.9","432.1","452.7","454.7"
"ITH1","176.3","175.1","188.5","191.3","188.6"
"ITH2","167.7","165.6","174.1","174.0","175.4"
"ITH3","1294.0","1303.1","1337.4","1383.4","1376.4"
"ITH4","330.4","334.1","344.1","348.5","355.7"
"ITH5","1264.8","1247.2","1261.1","1285.3","1295.7"
"ITI1","1091.4","1073.0","1112.4","1138.8","1161.1"
"ITI2","244.9","240.6","240.4","248.4","263.4"
"ITI3","379.0","393.0","395.9","402.2","410.7"
"ITI4","1879.8","1851.7","1902.4","1935.5","1967.8"
"CY00","331.9","350.3","374.3","389.2","395.1"
"LV00","616.2","599.9","615.0","620.4","622.7"
"LT01","347.6","358.2","360.9","374.1","371.6"
"LT02","583.6","575.1","612.7","617.0","634.6"
"LU00","243.8","259.7","268.5","276.5","284.5"
"HU11","711.0","732.6","750.0","754.5","766.0"
