"region_id","2020","2021","2022","2023","2024"
"BE10","22.8","21.4","22.0","22.2","26.4"
"BE21","57.2","62.2","58.7","53.7","56.0"
"BE22","15.9","16.4","18.5","20.1","20.7"
"BE23","33.0","33.2","31.3","28.8","32.5"
"BE24","25.3","28.0","27.6","27.6","28.3"
"BE25","22.5","23.3","26.6","23.8","22.0"
"BE31","5.4","4.8","4.9","6.1","6.2"
"BE32","21.6","20.9","22.3","28.7","28.9"
"BE33","17.5","18.8","17.5","16.5","16.9"
"BE34","4.0","4.4","4.4","3.5","3.6"
"BE35","9.5","7.9","7.6","8.1","8.1"
"BG31","13.9","13.5","13.6","15.8","14.1"
"BG32","19.2","17.0","15.6","15.4","16.7"
"BG33","29.4","32.9","35.5","34.1","29.6"
"BG34","21.6","22.3","23.2","23.2","26.9"
"BG41","61.0","64.0","67.2","62.6","60.1"
"BG42","30.9","29.1","28.8","29.8","30.2"
"CZ01","47.1","35.3","33.4","34.0","36.4"
"CZ02","50.0","51.4","53.4","51.1","51.1"
"CZ03","30.4","29.7","30.8","29.6","32.4"
"CZ04","30.8","30.5","36.7","34.9","34.2"
"CZ05","33.3","28.3","29.8","34.1","31.0"
"CZ06","40.4","40.6","39.3","41.4","40.4"
"CZ07","24.8","26.9","26.5","25.3","27.2"
"CZ08","31.1","28.8","31.7","27.4","29.0"
"DK01","37.3","33.0","35.8","40.9","37.9"
"DK02","18.4","17.2","16.3","20.7","20.2"
"DK03","26.9","24.9","25.7","28.6","26.0"
"DK04","22.1","22.0","22.4","22.1","25.3"
"DK05","8.4","8.5","9.0","10.1","11.0"
"DE11","56.3","63.7","81.2","91.5","83.3"
"DE12","49.5","48.7","53.3","61.4","54.3"
"DE13","30.1","31.2","31.4","39.1","39.6"
"DE14","28.6","27.7","33.1","30.7","21.1"
"DE21","68.1","70.0","82.3","94.8","101.9"
"DE23","29.1","16.7","15.1","13.9","14.9"
"DE25","29.7","28.7","37.8","41.1","43.0"
"DE27","35.5","33.0","34.8","31.8","33.4"
"DE30","74.3","77.3","64.7","74.8","81.8"
"DE40","53.8","50.9","52.1","60.5","52.6"
"DE50","30.8","30.1","28.8","27.8","28.6"
"DE60","61.4","49.9","71.4","73.3","68.8"
"DE71","140.9","125.5","134.5","130.6","136.1"
"DE80","39.7","33.0","33.1","31.3","30.3"
"DE92","50.9","44.2","53.6","51.4","53.4"
"DE93","46.1","44.0","43.2","45.8","44.0"
"DE94","43.4","46.6","55.2","50.9","53.8"
"DEA1","121.1","115.2","139.7","145.6","141.2"
"DEA2","83.9","87.7","89.7","87.1","88.5"
"DEA3","45.5","44.8","48.5","47.7","48.8"
"DEA4","31.6","34.0","41.1","44.6","39.7"
"DEA5","70.3","74.3","83.0","78.5","69.4"
"DEB1","26.8","30.2","33.0","30.1","34.6"
"DEB3","45.0","41.0","38.7","43.3","49.5"
"DED2","32.1","30.8","30.1","27.1","26.0"
