"region_id","2020","2021","2022","2023","2024"
"BE10","70.8","65.7","77.1","80.2","80.9"
"BE21","132.5","123.4","140.3","133.9","137.1"
"BE22","62.7","66.1","66.0","70.1","68.3"
"BE23","105.1","111.2","111.4","124.7","118.1"
"BE24","86.9","73.9","79.8","74.4","68.7"
"BE25","98.6","102.3","105.5","109.6","107.6"
"BE31","22.1","22.5","25.3","24.7","24.4"
"BE32","70.7","74.6","84.8","75.0","84.9"
"BE33","55.7","58.8","65.3","62.5","60.5"
"BE34","21.9","21.2","22.4","21.7","22.3"
"BE35","26.7","23.6","28.8","28.7","29.4"
"BG31","43.8","43.7","51.2","49.6","47.8"
"BG32","60.6","60.3","60.1","57.7","55.7"
"BG33","93.3","89.2","90.6","93.6","108.0"
"BG34","87.0","78.5","87.6","93.9","86.8"
"BG41","233.8","216.8","231.8","237.1","244.9"
"BG42","113.3","106.5","115.4","110.6","114.1"
"CZ01","116.1","98.9","101.8","91.3","109.1"
"CZ02","112.1","108.1","112.6","110.6","113.0"
"CZ03","89.9","87.0","88.6","84.0","85.2"
"CZ04","82.6","79.5","84.2","73.3","69.8"
"CZ05","101.4","98.9","103.4","98.3","107.2"
"CZ06","119.1","118.7","121.5","115.9","122.1"
"CZ07","79.1","86.9","85.3","88.3","84.7"
"CZ08","93.8","82.7","82.5","89.8","85.7"
"DK01","161.5","159.7","178.9","174.2","177.8"
"DK02","75.8","73.0","79.2","71.3","73.1"
"DK03","110.8","114.4","117.5","119.4","121.2"
"DK04","127.2","126.3","135.1","135.6","138.0"
"DK05","50.7","51.5","54.0","52.2","54.0"
"DE11","309.4","302.0","338.7","356.3","358.5"
"DE12","235.3","216.8","209.7","233.1","231.6"
"DE13","182.2","181.6","189.6","207.2","207.4"
"DE14","157.4","154.1","150.5","152.7","158.0"
"DE21","402.9","362.1","387.9","422.4","401.1"
"DE22","106.1","113.4","124.6","109.8","113.3"
"DE23","87.2","89.4","93.5","96.3","92.4"
"DE24","99.0","84.1","100.1","108.4","88.2"
"DE25","113.3","112.5","135.5","150.9","156.8"
"DE26","93.2","128.7","122.3","102.8","111.4"
"DE27","160.2","154.7","151.7","170.6","173.7"
"DE30","285.9","267.0","257.9","288.5","306.3"
"DE40","206.5","194.3","188.2","201.1","193.0"
"DE50","45.3","50.3","58.2","61.5","57.4"
"DE60","175.6","159.1","147.0","163.6","155.9"
"DE71","325.1","308.0","320.9","326.5","325.8"
"DE72","86.9","76.5","79.0","75.4","90.0"
"DE73","103.6","96.6","97.0","109.5","107.4"
"DE80","148.7","130.6","130.0","138.0","129.2"
"DE91","122.4","112.8","118.6","114.5","112.7"
"DE92","178.1","174.3","186.7","184.8","188.6"
"DE93","145.9","147.6","160.2","161.4","156.3"
"DE94","222.4","211.7","235.7","253.8","247.3"
"DEA1","413.0","429.7","439.4","450.5","451.9"
"DEA2","318.0","328.4","357.3","364.1","369.7"
"DEA3","223.5","196.3","218.9","215.8","223.6"
"DEA4","179.7","155.0","161.8","166.6","172.0"
"DEA5","273.5","273.0","277.7","290.6","299.5"
"DEB1","113.2","119.2","138.9","130.0","126.0"
"DEB2","50.6","45.1","49.8","62.3","56.4"
"DEB3","167.6","164.1","162.4","178.0","174.5"
"DEC0","79.1","77.3","85.4","84.6","79.2"
"DED2","123.1","110.3","111.9","117.2","110.3"
"DED4","101.3","95.0","90.6","85.0","83.4"
"DED5","71.3","67.9","81.9","87.5","75.6"
"DEE0","155.8","150.5","159.2","160.7","169.8"
"DEF0","274.9","263.1","282.8","284.4","264.2"
"DEG0","150.6","152.9","158.4","158.3","155.6"
"EE00","106.1","103.7","111.1","113.8","121.9"
"IE04","79.2","78.9","86.3","87.6","87.0"
"IE05","152.1","149.3","164.0","178.9","172.7"
"IE06","220.6","224.3","239.6","251.2","251.1"
"EL30","393.3","371.2","397.3","381.0","388.9"
"EL41","20.5","19.2","23.0","20.1","17.7"
"EL42","51.0","49.0","51.1","57.2","59.4"
"EL43","77.1","68.6","79.5","82.0","85.2"
"EL51","52.4","46.6","50.4","52.6","57.3"
"EL52","179.3","179.7","190.8","187.0","195.5"
"EL53","19.8","22.8","21.1","24.1","18.8"
"EL54","28.1","27.0","30.1","30.4","27.7"
"EL61","66.8","63.6","69.5","60.9","62.0"
"EL62","29.6","33.7","32.2","34.4","37.3"
"EL63","52.6","61.0","64.9","61.4","69.3"
"EL64","47.7","44.3","51.3","55.3","60.3"
