"region_id","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"BE10","76049.18","78882.48","80091.73","82258.01","84237.94","87454.96","84274.66","90626.54","97609.27","103285.03"
"BE21","76055.11","79430.67","82295.28","85077.73","87852.28","91705.01","89369.44","96869.86","109396.79","114382.42"
"BE22","25494.5","25873.33","26781.5","27865.47","28728.56","29540.63","28420.51","31306.17","34911.99","36725.81"
"BE23","47924.08","50176.97","52027.03","54304.33","55670.76","57692.55","56400.01","63230.35","71182.27","74451.62"
"BE24","42756.87","44518.88","46550.41","48158.68","50024.55","52010.44","49391.96","56278.86","64445.14","69557.57"
"BE25","41049.89","42128.19","43736.16","45241.89","46597.39","48494.07","46962.23","51661.96","57113.19","60930.99"
"BE31","15879.51","16292.47","17328.49","18175.87","20195.88","22737.29","22208.17","21453.0","24366.33","26475.1"
"BE32","30735.48","31357.85","32052.95","33009.56","34206.21","34843.36","33582.19","36465.47","40015.6","42079.15"
"BE33","28358.8","28973.52","29696.65","30799.97","31722.93","32794.78","32346.35","35277.77","39112.4","41195.63"
"BE34","6303.52","6470.84","6606.17","6864.28","7056.42","7323.64","7191.67","7976.1","8909.14","9424.04"
"BE35","12126.9","12337.57","12737.95","13102.96","13509.46","13802.93","13434.41","14710.46","16306.4","17622.97"
"BEZZ","269.46","258.64","180.98","191.34","248.42","276.56","169.3","166.67","175.1","190.27"
"BG31","3060.44","3089.1","3223.4","3539.86","3922.44","3942.27","4217.83","4963.24","5980.0","6526.93"
"BG32","3555.6","3640.32","3798.92","4050.22","4303.29","4561.59","4619.17","5356.01","6128.07","6893.14"
"BG33","4779.18","4976.82","5175.32","5541.61","5964.13","6309.18","6235.0","7140.17","8491.91","9474.43"
"BG34","5453.75","5598.29","6343.09","6761.79","6770.85","6823.21","6410.09","8200.05","11756.66","11903.81"
"BG41","20315.97","22005.91","23382.18","25261.0","27225.53","30996.94","31375.11","36212.65","41868.52","47536.7"
"BG42","5859.74","6487.37","6829.24","7347.3","7945.09","8674.95","9055.27","9506.32","11857.27","12374.32"
"CZ01","41276.12","44677.59","47203.14","51669.81","57171.96","61469.81","58671.75","66697.28","79463.73","85494.29"
"CZ02","18239.69","19625.81","21180.44","23483.02","25114.35","28086.79","26226.77","29091.23","33943.37","37757.12"
"CZ03","15835.44","16849.4","17610.32","19447.76","20960.28","22304.26","21611.63","23898.35","27690.85","31454.59"
"CZ04","12092.47","13033.09","13199.78","14341.16","15154.22","16358.65","15366.26","17002.35","20344.38","22675.79"
