"region_id","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"BE10","0.6","1.1","-0.8","1.1","1.1","2.6","-3.8","4.1","1.7","0.5"
"BE21","2.1","3.4","1.3","1.2","1.7","2.5","-3.2","5.2","6.1","0.8"
"BE22","3.3","0.6","1.4","2.1","1.7","1.1","-4.6","6.2","4.0","0.7"
"BE23","2.1","4.1","1.4","2.4","0.8","1.9","-3.2","8.2","4.8","0.3"
"BE24","1.4","3.0","1.8","1.5","2.2","2.3","-5.8","11.0","8.4","2.9"
"BE25","2.5","1.9","1.4","1.6","1.3","2.1","-4.2","6.5","3.3","1.9"
"BE31","4.8","1.6","4.1","3.2","8.5","9.6","-3.8","-6.1","8.0","3.7"
"BE32","1.3","1.4","0.4","1.0","2.3","0.2","-4.5","5.0","2.8","0.0"
"BE33","0.0","1.3","0.5","1.8","1.4","1.6","-2.2","5.2","3.1","0.8"
"BE34","0.6","2.4","0.3","2.0","1.3","1.9","-2.3","6.8","3.7","-0.1"
"BE35","1.5","1.2","1.4","1.2","1.5","1.3","-3.3","6.2","4.3","2.4"
"BEZZ","1.3","-2.9","-31.0","3.1","29.6","9.2","-38.2","1.4","2.1","1.2"
"BG31","3.2","-3.2","1.9","5.2","10.6","-3.9","0.9","5.9","-0.7","2.9"
"BG32","2.3","-2.0","1.3","2.8","3.0","0.5","-4.4","6.2","7.5","5.1"
"BG33","1.7","-0.1","0.6","2.7","4.0","0.7","-6.3","4.8","6.5","3.2"
"BG34","2.4","3.8","8.4","2.1","0.8","-3.9","-9.7","10.0","-2.4","-4.9"
"BG41","0.5","4.1","2.1","3.8","2.5","7.7","-1.8","9.5","5.9","3.0"
"BG42","-1.1","6.6","1.6","2.5","4.5","2.5","-1.7","6.2","11.9","-2.8"
"CZ01","4.5","5.0","2.8","4.6","4.9","3.7","-4.6","6.3","3.9","-1.8"
"CZ02","2.7","5.1","5.4","7.3","2.6","8.0","-8.2","3.2","5.9","2.0"
"CZ03","2.1","3.4","1.9","6.3","2.4","2.5","-4.8","3.1","1.9","1.4"
"CZ04","0.7","4.9","-0.4","2.2","-0.5","3.9","-7.2","2.0","2.2","-0.8"
