"region_id","2018","2020","2022","2024"
"BE10","87.78","89.52","95.76","96.11"
"BE21","89.42","90.75","96.79","95.79"
"BE22","89.46","91.83","96.34","96.95"
"BE23","88.24","93.22","94.27","97.18"
"BE24","89.99","94.21","94.48","95.04"
"BE25","88","90.63","94.54","94.13"
"BE31","88.92","95.91","97.68","95.1"
"BE32","82.15","87.1","91.74","91.45"
"BE33","85.59","92.01","92.91","92.13"
"BE34","86.15","86.66","90.48","89.76"
"BE35","80.94","85.61","90.58","91.74"
"BG31","65.22","66.150000000000006","83.07","89.17"
"BG32","68.53","74.760000000000005","85.63","92.85"
"BG33","73.89","77.7","85.39","89.88"
"BG34","69.97","77.239999999999995","84.92","88.62"
"BG41","75.27","85.86","90.48","95.53"
"BG42","73.7","79.19","88.61","91.67"
"CZ01","93.17","94.74","96.3","96.77"
"CZ02","86.66","87.79","92.38","94.77"
"CZ03","86.17","87.68","92.32","95.61"
"CZ04","81.66","82.28","87.57","95.82"
"CZ05","83.68","86.88","90.27","94.95"
"CZ06","86.83","90.08","89.84","91.97"
"CZ07","83.38","88.11","87.91","92.61"
"CZ08","88.43","85.67","94.82","94.69"
"DK01","92.69","95.67","95.95","96.92"
"DK02","91.13","94.48","95.49","97.15"
"DK03","91.79","95.63","94.54","95.56"
"DK04","93.9","95.83","94.43","97.94"
"DK05","93.95","93.18","95.11","97.1"
"EE00","90.47","89.98","92.41","92.89"
"ES11","82.56","92.4","93.35","95.12"
"ES12","85.86","93.37","94.26","93.85"
"ES13","83","93.87","94.68","95.97"
"ES21","89.11","95.46","96.35","96.17"
"ES22","87.19","96.49","96.43","96.96"
"ES23","82.5","93.63","94.33","96.14"
"ES24","88.68","96.28","98.15","97.41"
"ES30","91.48","97.07","97.78","97.95"
"ES41","82.27","93.89","94.85","95.45"
"ES42","80.930000000000007","93.23","95.02","96.01"
"ES43","78.58","94.2","94.61","94.97"
"ES51","87.66","96.66","97.4","97.7"
"ES52","86.8","95.81","96.25","97.78"
"ES53","90.75","95.61","97.51","97.74"
"ES61","83.69","94.74","94.5","96.31"
"ES62","87.36","94.38","96.94","97.19"
"ES63","91.69","96.01","97.27","98.8"
"ES64","88.86","98.86","100","96.73"
"ES70","87.35","96.18","96.94","96.83"
"HR03","83.76","88.28","85.32","88.79"
"ITC1","85.66","88.39","92.09","94.03"
