"region_id","2020","2021","2022","2023","2024"
"BE10","55.9","58.5","59.0","59.0","59.1"
"BE21","45.1","46.7","49.8","49.3","48.0"
"BE22","43.0","44.2","46.8","46.2","42.0"
"BE23","47.8","53.2","52.8","49.1","49.9"
"BE24","55.2","57.8","55.7","55.3","55.9"
"BE25","42.4","43.2","42.9","42.5","41.7"
"BE31","63.2","62.0","64.1","63.7","65.5"
"BE32","40.4","40.5","40.0","40.0","39.6"
"BE33","45.3","48.7","48.0","44.8","47.4"
"BE34","45.8","47.8","44.5","42.5","43.5"
"BE35","46.3","49.2","49.6","49.9","47.3"
"BG31","24.8","23.6","22.4","25.2","29.7"
"BG32","29.3","29.9","28.7","28.5","33.6"
"BG33","25.7","28.6","30.5","32.1","38.4"
"BG34","25.2","25.5","23.7","24.5","30.6"
"BG41","44.3","44.9","44.7","43.8","44.4"
"BG42","24.9","26.0","25.8","28.0","31.1"
"CZ01","46.0","50.1","51.0","52.6","51.8"
"CZ02","23.7","25.4","25.0","24.8","23.2"
"CZ03","19.6","21.3","21.3","23.2","23.8"
"CZ04","13.6","15.4","16.2","17.0","17.3"
"CZ05","20.5","20.7","22.4","20.7","21.8"
"CZ06","27.5","27.6","27.1","28.2","29.2"
"CZ07","21.7","24.4","23.9","22.2","23.0"
"CZ08","21.2","23.2","22.9","22.5","24.5"
"DK01","49.9","50.7","49.5","51.3","52.4"
"DK02","29.5","31.0","31.7","32.3","32.9"
"DK03","32.2","32.1","32.7","33.1","35.7"
"DK04","35.9","37.0","38.1","37.3","38.5"
"DK05","30.4","32.6","32.4","33.2","32.9"
"DE11","33.6","34.7","35.6","36.1","36.7"
"DE12","33.4","33.5","35.0","36.0","36.3"
"DE13","32.0","32.5","32.4","32.3","34.5"
"DE14","31.3","32.6","33.3","35.8","38.0"
"DE21","40.1","42.8","41.2","41.4","42.4"
"DE22","24.7","27.6","26.9","24.7","26.0"
"DE23","28.6","30.0","30.1","30.3","30.8"
"DE24","26.9","30.0","27.2","25.7","28.3"
"DE25","33.5","32.7","33.0","35.0","35.3"
"DE26","31.8","30.8","29.6","32.0","31.5"
"DE27","30.3","28.9","28.6","30.2","31.9"
"DE30","43.6","48.3","49.1","46.1","45.7"
"DE40","28.1","31.7","30.3","30.7","31.5"
"DE50","31.4","34.5","32.0","30.7","32.0"
"DE60","37.3","42.5","39.5","40.8","42.4"
"DE71","33.0","35.5","35.6","37.1","37.8"
"DE72","30.5","31.2","31.2","30.6","32.2"
"DE73","26.9","26.9","26.1","27.3","28.4"
"DE80","27.6","27.3","26.0","27.5","28.6"
"DE91","31.9","31.9","32.6","34.0","34.6"
"DE92","28.4","30.8","31.6","31.3","33.5"
"DE93","26.7","26.9","27.4","26.6","29.8"
"DE94","24.6","26.3","27.8","27.5","28.4"
"DEA1","29.8","30.5","29.8","30.3","30.9"
"DEA2","32.8","36.0","35.3","37.1","37.1"
"DEA3","26.9","28.5","28.1","28.2","28.8"
"DEA4","25.8","26.4","26.8","28.1","30.6"
"DEA5","26.5","27.7","27.1","27.0","26.2"
"DEB1","27.2","27.1","26.1","27.3","28.4"
"DEB2","30.2","28.4","29.0","27.2","27.9"
"DEB3","31.9","31.7","32.2","34.3","36.3"
"DEC0","27.6","28.3","27.6","27.1","28.2"
"DED2","32.4","34.1","33.8","35.2","36.1"
"DED4","26.6","25.3","24.6","24.3","26.7"
"DED5","37.1","36.8","35.3","35.5","37.9"
"DEE0","22.8","25.1","24.8","25.6","25.8"
"DEF0","26.6","27.6","26.6","28.9","31.3"
"DEG0","29.0","28.5","28.6","28.0","29.3"
