"region_id","2021","2022","2023","2024"
"BE10","35.8","38.8","38.7","38.3"
"BE21","22.1","20.3","18.5","18.2"
"BE22","12.2","11.1","9.7","10.1"
"BE23","10.9","11.2","11.8","14.4"
"BE24","9.5","10.3","9.6","9.4"
"BE25","11.2","10.4","9.8","9.8"
"BE31","26.6","27.4","26.3","23.4"
"BE32","41.2","43.0","41.2","41.0"
"BE33","28.9","30.0","28.0","27.4"
"BE34","27.6","28.1","28.2","25.3"
"BE35","26.9","28.5","28.0","24.4"
"BG31","38.8","42.0","48.7","44.9"
"BG32","43.3","54.1","53.2","49.3"
"BG33","34.7","42.3","55.6","58.2"
"BG34","44.7","50.2","51.7","52.0"
"BG41","25.9","29.8","33.7","32.0"
"BG42","41.8","49.3","53.2","52.2"
"CZ01","14.4","13.7","14.0","14.5"
"CZ02","14.8","15.2","17.6","18.8"
"CZ03","14.0","15.0","16.9","18.4"
"CZ04","28.4","25.9","26.0","25.9"
"CZ05","19.4","17.1","25.0","22.5"
"CZ06","15.2","15.5","17.7","15.9"
"CZ07","19.5","20.0","17.2","15.2"
"CZ08","21.3","20.4","24.2","23.9"
"DK01","18.9","16.3","21.6","18.8"
"DK02","22.0","24.0","22.6","22.5"
"DK03","21.3","22.8","24.9","22.1"
"DK04","17.6","18.9","22.8","21.9"
"DK05","18.8","24.1","25.5","21.9"
"DE11","29.0","31.5","34.4","35.1"
"DE12","30.9","31.2","32.1","28.9"
"DE13","28.2","33.4","35.8","35.0"
"DE14","31.0","31.6","32.1","30.1"
"DE21","22.4","22.5","22.4","18.9"
"DE22","24.0","24.1","20.5","24.0"
"DE23","24.9","20.5","15.2","10.6"
"DE24","27.3","24.6","23.6","22.0"
"DE25","26.9","25.7","29.2","25.4"
"DE26","29.5","27.2","27.9","21.7"
"DE27","23.4","24.2","24.1","18.4"
"DE30","32.4","29.5","33.6","29.1"
"DE40","31.5","32.2","33.3","31.3"
"DE50","48.4","51.7","52.3","52.4"
"DE60","29.9","36.0","39.6","30.6"
"DE71","38.3","38.3","34.2","31.8"
"DE72","32.1","37.2","36.3","37.1"
"DE73","40.6","43.7","42.3","38.7"
"DE80","39.3","42.8","42.8","34.3"
"DE91","41.0","41.8","42.8","39.3"
"DE92","36.1","40.6","40.9","35.3"
"DE93","32.7","35.0","34.1","35.1"
"DE94","35.1","39.7","41.3","36.4"
"DEA1","40.8","41.3","42.6","37.8"
"DEA2","34.1","35.2","39.4","34.4"
"DEA3","35.0","37.6","43.1","40.7"
"DEA4","36.5","34.4","35.6","35.2"
"DEA5","38.2","42.6","40.8","39.6"
"DEB1","35.9","36.6","38.7","38.7"
"DEB2","22.5","23.8","22.5","32.9"
"DEB3","35.2","35.0","36.0","35.1"
"DEC0","27.8","36.4","37.9","39.7"
"DED2","22.8","25.2","25.6","24.7"
