"region_id","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"BE10","142.3","140.2","132.6","126.4","123.2","126.5","123.4","112.9","106.6","109.0"
"BE21","93.4","78.2","85.9","81.2","72.4","83.4","88.0","74.5","68.6","73.0"
"BE22","47.6","44.4","40.2","38.8","35.6","34.1","34.1","30.6","27.1","31.1"
"BE23","55.3","51.7","53.5","46.4","48.3","46.3","43.7","38.6","42.1","51.6"
"BE24","44.6","48.2","48.4","41.8","39.2","41.1","39.7","35.2","36.7","39.0"
"BE25","45.4","39.3","40.7","38.8","37.7","42.0","38.9","27.9","28.5","26.3"
"BE31","24.1","22.9","27.5","23.9","20.4","22.6","26.4","20.6","23.3","22.7"
"BE32","106.9","100.4","103.6","95.9","82.3","82.4","98.3","89.0","77.7","77.9"
"BE33","92.2","84.7","83.7","73.8","66.9","76.0","83.5","69.0","69.5","59.0"
"BE34","18.2","18.2","16.4","14.8","15.4","14.9","17.2","15.4","15.2","15.8"
"BE35","34.2","30.9","28.5","35.4","31.0","29.2","30.6","30.1","26.9","27.6"
"BG31","95.4","89.5","71.5","59.4","51.7","56.5","50.9","35.6","32.5","38.5"
"BG32","74.6","62.5","52.0","43.9","31.1","34.9","33.6","29.6","27.5","22.9"
"BG33","75.8","70.6","60.8","49.8","34.9","35.3","35.5","30.7","26.2","22.1"
"BG34","91.0","77.2","66.4","53.6","39.1","46.9","47.2","42.7","38.5","36.2"
"BG41","101.4","83.9","54.3","41.2","33.9","50.1","48.5","43.8","44.4","33.1"
"BG42","105.3","93.1","81.7","72.6","48.9","48.3","50.2","39.5","38.4","31.9"
"CZ01","24.2","20.8","15.4","12.6","13.7","22.7","24.0","30.6","37.9","42.0"
"CZ02","29.7","27.3","18.3","16.7","12.4","18.2","21.3","18.6","34.8","32.8"
"CZ03","29.6","26.4","17.4","13.2","13.5","17.5","20.4","30.6","36.9","35.4"
"CZ04","49.0","37.9","26.6","26.9","24.9","29.0","28.1","28.1","39.4","37.8"
"CZ05","50.7","41.7","31.4","23.7","21.7","23.2","21.8","41.6","47.8","48.7"
"CZ06","57.5","45.1","38.1","30.8","23.6","25.8","26.8","34.5","48.1","49.1"
"CZ07","43.2","31.4","27.6","20.6","20.8","20.8","17.7","33.2","39.3","38.9"
"CZ08","58.9","51.8","36.2","29.9","28.3","28.2","35.2","40.2","42.5","44.8"
"DK01","93.2","121.1","109.4","89.5","90.8","110.1","98.3","82.4","89.9","115.1"
"DK02","32.7","43.9","39.4","33.8","32.5","35.6","31.9","24.7","29.6","35.5"
"DK03","49.8","71.9","62.2","49.5","52.3","54.9","42.3","44.1","49.8","60.6"
"DK04","55.5","76.7","64.1","56.1","60.7","68.8","57.0","50.8","61.7","69.7"
"DK05","26.2","37.4","30.7","28.4","29.9","30.4","25.0","22.6","23.6","32.6"
"DE11","169.1","175.1","162.1","136.5","135.5","186.9","141.0","123.1","136.9","135.9"
"DE12","117.6","108.4","115.6","100.3","98.3","132.7","103.5","90.5","88.4","94.3"
"DE13","81.5","83.4","82.3","74.1","62.8","77.1","76.5","59.4","59.6","68.8"
"DE14","73.2","69.5","63.2","57.5","49.4","76.4","61.4","53.7","52.6","58.7"
"DE21","137.9","128.0","128.3","123.4","111.0","155.1","132.2","110.7","121.0","139.4"
"DE22","37.6","30.6","28.8","27.5","22.7","38.3","26.0","18.2","17.7","23.7"
"DE23","33.3","32.4","30.1","23.0","25.3","32.3","29.3","21.5","21.5","20.8"
"DE24","48.2","47.9","41.9","33.3","34.7","38.2","30.8","30.7","30.3","31.6"
"DE25","70.1","60.4","54.2","49.9","47.4","61.7","53.6","48.7","50.3","53.6"
"DE26","43.0","40.0","40.9","37.5","35.5","34.4","34.7","32.3","30.5","36.7"
"DE27","58.7","54.5","52.5","46.6","46.2","59.1","54.0","41.7","37.6","41.4"
"DE30","288.0","254.5","239.3","213.9","191.4","214.5","199.1","171.5","187.3","186.3"
"DE40","172.6","143.9","140.2","116.1","98.2","94.3","82.4","70.5","79.0","80.0"
"DE50","43.8","44.8","39.7","39.5","36.5","36.3","43.1","39.2","37.2","38.4"
"DE60","90.3","87.4","88.8","83.0","80.6","92.8","89.1","72.3","79.1","87.9"
"DE71","180.4","180.2","165.1","146.5","150.9","193.3","162.0","160.6","135.1","133.0"
"DE72","48.0","53.8","49.3","45.7","41.5","52.5","38.5","28.7","30.2","39.2"
"DE73","51.5","51.3","48.8","41.0","41.5","43.0","38.9","31.2","31.4","31.9"
"DE80","129.9","116.7","105.9","97.7","89.8","74.0","61.2","61.8","62.2","57.3"
"DE91","89.3","86.4","75.4","75.5","67.0","85.3","64.3","59.6","53.6","57.4"
"DE92","113.9","107.2","102.4","95.6","93.1","103.1","75.1","76.6","76.5","76.3"
"DE93","72.4","62.6","70.5","56.3","52.0","74.7","49.9","44.1","49.9","45.4"
"DE94","102.2","99.0","89.1","78.3","74.9","106.3","88.6","76.2","75.0","85.7"
"DEA1","298.5","257.0","246.9","236.9","215.0","286.1","237.9","205.3","213.0","217.1"
"DEA2","204.6","202.4","184.4","172.0","166.5","221.4","184.8","159.5","157.2","160.5"
"DEA3","130.7","126.8","115.5","107.9","105.4","128.4","91.5","89.6","86.5","84.5"
"DEA4","102.7","96.4","92.9","80.4","74.0","96.6","75.5","60.8","56.1","73.9"
"DEA5","197.8","190.3","181.6","161.6","155.3","202.0","161.1","141.7","133.5","136.7"
"DEB1","58.1","64.4","58.1","50.8","46.0","50.9","43.1","50.7","45.4","44.2"
"DEB3","98.4","102.8","100.1","89.7","83.4","103.9","88.4","76.0","74.6","70.9"
"DEC0","51.9","47.0","41.7","39.3","36.0","38.3","33.6","30.6","32.4","32.2"
"DED2","112.7","94.1","89.6","81.8","77.6","67.2","56.9","48.2","45.5","53.2"
"DED4","95.7","79.9","73.5","62.1","58.0","46.9","38.1","31.5","37.9","37.8"
"DED5","85.2","69.3","64.6","56.5","54.5","53.8","42.3","39.2","44.5","49.3"
"DEE0","191.5","171.0","155.6","124.2","109.6","99.3","90.6","81.0","74.1","75.6"
"DEF0","136.3","135.4","120.8","116.4","101.9","121.9","102.4","89.4","88.7","97.8"
"DEG0","149.0","133.7","116.7","105.2","101.1","95.2","75.4","69.8","75.5","66.7"
"EE00","71.4","76.9","65.8","65.1","56.1","74.7","67.2","60.0","69.2","79.8"
"IE04","64.8","56.1","48.6","53.9","46.9","57.0","53.3","40.5","46.3","49.5"
"IE05","125.8","103.0","101.5","103.4","97.5","114.3","119.2","80.2","92.4","91.8"
"IE06","155.6","144.0","139.3","146.6","131.9","171.1","177.3","128.4","135.0","138.4"
"EL30","603.0","572.0","531.8","491.9","431.9","367.5","327.0","253.2","231.9","206.7"
"EL41","17.3","18.8","23.8","24.4","19.8","19.6","16.8","13.0","12.2","8.1"
"EL42","35.1","37.7","34.8","37.6","30.8","43.2","40.7","35.0","24.7","29.1"
"EL43","89.4","87.7","73.4","57.9","47.6","67.0","63.7","52.0","50.4","39.8"
"EL51","69.3","70.1","60.1","50.5","52.4","60.5","59.6","48.0","43.4","41.1"
