"region_id","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"BE10","298.7","303.0","322.4","333.7","330.5","352.4","373.4","384.0","391.5","392.5"
"BE21","393.8","365.3","400.4","418.0","420.5","433.3","457.4","500.5","489.4","484.5"
"BE22","164.6","168.5","178.2","179.4","187.5","191.8","200.1","218.8","212.0","192.1"
"BE23","324.4","340.2","363.6","367.9","358.0","382.9","437.2","434.7","405.1","418.3"
"BE24","283.9","299.9","322.8","311.2","317.6","328.2","341.1","334.1","327.1","330.8"
"BE25","222.5","240.1","253.3","251.2","252.4","262.5","266.1","266.3","263.8","255.2"
"BE31","118.2","114.5","125.1","127.1","123.4","131.3","132.7","136.1","140.2","141.8"
"BE32","204.5","227.8","234.3","239.0","240.7","244.3","251.7","256.3","253.6","252.0"
"BE33","211.1","208.2","218.2","221.3","229.9","243.7","260.8","251.4","236.3","246.2"
"BE34","58.4","56.3","60.1","62.5","64.6","67.7","73.0","69.0","65.8","67.5"
"BE35","96.6","96.2","109.7","108.3","105.7","112.9","119.0","121.1","121.1","116.4"
"BG31","92.8","83.1","80.7","81.7","72.6","76.8","71.6","66.6","71.8","87.7"
"BG32","109.0","112.2","106.6","113.8","107.3","101.9","100.4","96.7","96.7","108.4"
"BG33","142.3","142.4","145.9","135.1","109.1","107.8","119.4","130.2","135.7","163.3"
"BG34","131.3","129.9","128.1","124.4","114.3","119.6","117.9","111.0","114.1","141.4"
"BG41","484.9","491.7","483.7","483.9","459.4","494.1","489.5","487.2","466.9","469.6"
"BG42","178.6","176.9","182.6","186.2","168.7","162.3","164.3","164.6","179.0","198.3"
"CZ01","304.8","327.1","347.3","355.3","352.3","354.8","388.6","378.9","381.7","396.8"
"CZ02","168.8","165.4","169.7","182.9","179.3","188.4","200.2","190.8","187.1","177.8"
"CZ03","135.3","136.6","143.2","144.0","142.3","138.8","149.8","146.5","157.6","160.4"
"CZ04","89.0","93.5","94.7","90.7","97.8","86.3","93.5","94.9","98.3","101.7"
"CZ05","162.9","169.2","176.8","175.9","171.4","174.3","176.3","188.5","166.4","176.6"
"CZ06","244.0","257.9","252.1","253.1","251.9","266.9","267.2","257.9","256.4","269.3"
"CZ07","145.5","137.0","141.2","138.3","139.6","151.8","166.5","159.1","142.2","150.2"
"CZ08","138.3","146.0","155.3","150.3","142.6","147.2","152.2","147.8","139.9","150.9"
"DK01","462.9","479.9","480.9","495.9","516.5","533.9","549.5","547.0","572.1","605.6"
"DK02","117.9","119.6","128.1","126.8","125.6","127.9","136.0","137.7","143.7","152.1"
"DK03","184.2","182.9","200.6","202.9","205.7","210.7","212.8","218.2","220.6","239.8"
"DK04","228.8","237.1","243.9","256.0","268.6","265.3","276.6","288.6","288.3","303.1"
"DK05","89.9","93.5","93.5","96.8","96.6","97.5","106.5","107.4","106.7","107.8"
"DE11","724.9","762.5","759.7","764.3","814.3","824.6","817.2","872.6","887.2","880.8"
"DE12","476.5","498.6","496.6","489.5","527.8","556.5","524.5","539.8","558.9","579.6"
"DE13","335.4","360.5","359.0","366.9","387.6","399.0","413.7","405.7","427.4","469.4"
"DE14","302.7","314.4","317.4","309.5","329.0","352.4","360.9","375.0","405.4","437.6"
"DE21","961.9","1013.0","1058.6","1078.6","1086.3","1101.8","1087.4","1112.8","1165.7","1201.5"
"DE22","146.3","149.1","153.2","150.7","160.4","185.5","206.9","196.1","170.5","189.5"
"DE23","156.9","155.3","155.0","158.6","166.2","210.7","196.2","187.9","192.3","195.5"
"DE24","137.7","139.9","152.3","148.2","157.8","181.8","188.9","179.6","166.3","165.3"
"DE25","273.0","291.9","300.0","305.0","305.3","301.5","298.5","331.2","376.5","388.6"
"DE26","196.7","199.6","205.2","207.7","218.9","218.7","245.5","235.1","235.1","235.5"
"DE27","255.6","252.1","270.4","283.5","297.4","363.3","334.0","303.5","317.2","344.9"
"DE30","752.7","817.7","861.0","903.9","928.6","914.2","966.9","1014.1","957.9","980.0"
"DE40","392.3","388.4","378.9","396.3","400.1","398.1","421.0","399.8","409.9","428.4"
"DE50","95.9","102.9","106.4","107.8","108.0","115.4","127.4","118.2","114.6","121.2"
"DE60","366.1","382.5","382.2","395.7","397.9","397.5","438.1","409.7","432.9","457.6"
"DE71","709.8","748.7","776.8","763.6","792.3","746.7","757.3","789.8","844.5","853.3"
"DE72","154.7","164.8","163.1","158.3","166.0","174.8","171.5","171.9","170.2","193.0"
"DE73","154.0","158.1","170.8","168.4","172.7","184.8","175.6","161.7","181.7","189.3"
"DE80","234.1","237.5","240.9","224.1","229.1","236.1","226.3","213.7","223.4","229.3"
"DE91","231.0","223.5","240.5","249.2","256.3","291.3","277.4","288.5","288.8","294.2"
"DE92","304.8","301.3","306.2","322.2","339.1","347.0","363.8","365.0","377.7","408.6"
"DE93","209.2","205.4","214.7","213.7","219.7","239.4","234.4","250.3","253.6","273.1"
"DE94","283.6","280.2","285.5","302.8","319.7","339.5","356.0","385.1","380.5","403.6"
