"region_id","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"AT11","176696","177576","177308","177038","176922","176634","176630","176406","177074","176052"
"AT12","990359","999331","1006479","1009309","1012379","1013892","1015085","1015532","1021954","1021019"
"AT13","1149510","1179800","1198910","1212521","1218353","1226771","1234507","1240145","1274042","1289407"
"AT21","338087","339429","339054","337765","336924","335830","335257","334553","335434","333477"
"AT22","756340","761948","764628","765770","766187","765957","764101","763289","767042","765476"
"AT31","883313","893695","900015","904324","908048","910614","911409","913402","920291","920272"
"AT32","332383","336704","338460","339867","341369","342430","343003","342505","344835","345677"
"AT33","455441","462334","466895","469577","471224","471985","472513","472730","475470","476533"
"AT34","231938","235102","237874","239605","241114","242409","243135","243883","246366","247483"
"BE10","732167","742001","739593","743276","750360","757920","762942","765320","785117","796192"
"BE21","1075820","1079648","1082242","1084709","1087785","1090849","1091644","1093247","1103860","1110182"
"BE22","523158","523494","521793","520422","518838","518400","517122","517279","519897","519570"
"BE23","877307","881403","884375","886688","890544","894006","897025","900238","907992","911502"
"BE24","653886","656715","659604","662317","665341","669008","670552","673962","679494","682804"
"BE25","680249","680221","680389","680188","680221","679871","679016","678419","681524","681826"
"BE31","230525","231829","232358","232787","233538","234352","234897","235237","236319","236458"
"BE32","787979","787540","785871","784773","783618","783883","783704","784847","786461","786091"
"BE33","651726","651867","651027","650393","649080","648870","648314","648352","649718","650417"
"BE34","164701","166773","167316","167309","168346","169922","171490","172984","174738","175026"
"BE35","289678","290545","291108","290977","291321","292161","292715","293685","294659","294982"
"BG31","450876","436946","424931","413908","402154","391699","386084","374074","366470","359969"
"BG32","475964","462047","449659","436918","423281","410382","402121","391389","384216","378184"
"BG33","560879","546589","533658","520223","506142","493150","488643","481117","476134","474832"
"BG34","620860","606386","593191","579755","565588","552876","547508","536734","529528","526493"
"BG41","1335331","1316940","1300038","1282290","1263033","1245398","1232544","1218540","1212960","1207206"
"BG42","866492","846896","829804","812192","793176","776289","770882","756318","747979","743628"
"CH01","970056","984543","996126","1005903","1012587","1019602","1029714","1037507","1046653","1066594"
"CH02","1115781","1123767","1131995","1134465","1136002","1138042","1140813","1141731","1144199","1154922"
"CH03","694046","699694","706708","710358","713317","716949","721349","723704","727022","739074"
"CH04","919491","931178","943505","952121","962059","972784","980693","984746","994624","1009978"
"CH05","709088","712657","716110","717934","719480","721355","724940","727612","732845","741855"
"CH06","489963","494440","499290","502449","504973","506655","509382","511804","514866","520931"
"CH07","209924","210292","211291","210041","209350","207648","207438","207470","208340","210178"
"CY00","543303","544133","546438","551351","557755","564215","571013","580091","591359","600618"
"CZ01","802492","800414","801841","804073","807486","812179","756725","766836","817636","837092"
"CZ02","817653","816350","814433","814038","816991","819165","802303","806501","834409","842872"
"CZ03","756882","751054","744637","738881","735263","733595","711119","708037","731201","735468"
"CZ04","704390","694944","684803","676585","669787","663727","639338","633517","644841","643965"
"CZ05","931381","921532","911487","903084","896729","891348","867701","861471","880455","880655"
"CZ06","1050102","1042256","1033596","1025983","1019348","1013120","989915","985088","1006386","1011025"
"CZ07","762980","754776","745096","736193","728007","720239","702172","694770","700332","697680"
"CZ08","767861","758386","748057","738158","729121","720704","702768","694665","696923","693398"
"DE11","2442252","2483006","2497428","2515862","2524702","2526936","2516816","2502652","2486428","2490340"
"DE12","1672109","1696915","1704232","1714385","1717674","1716046","1707843","1701693","1703835","1705688"
"DE13","1323946","1343234","1349071","1357680","1360528","1359631","1358037","1355518","1357679","1361363"
"DE14","1089735","1106731","1111528","1118033","1123276","1124779","1122924","1122407","1121149","1123275"
"DE21","2793897","2833889","2859712","2867308","2891843","2903921","2902332","2897278","2879818","2884030"
"DE22","736824","745251","748192","754279","758127","758855","757463","757385","744482","744535"
"DE23","671943","677002","679776","682806","684900","683553","680329","679616","668784","670511"
"DE24","641360","641894","641934","643597","643379","639829","635549","632358","621481","620317"
"DE25","1052041","1065512","1069912","1075121","1081081","1081079","1077469","1073201","1072403","1073124"
"DE26","795222","797059","795567","795969","796265","792274","787817","784495","771627","769575"
"DE27","1102239","1116552","1122420","1131798","1140125","1145393","1145723","1148048","1132142","1137444"
"DE30","2206967","2225938","2247802","2268767","2285668","2296023","2287860","2293200","2267571","2288153"
"DE40","1495511","1495977","1482425","1472477","1462927","1454949","1448729","1441642","1437538","1434652"
"DE50","405118","408807","411621","412953","414228","412099","410241","406009","417283","420983"
"DE60","1115618","1129089","1142014","1156339","1163928","1165868","1169428","1168449","1154745","1167799"
"DE71","2375729","2405256","2414274","2428324","2437938","2446276","2443706","2430824","2417334","2423762"
"DE72","630608","635603","635124","636106","635966","634893","632821","630557","617719","617115"
"DE73","715739","722449","722270","722077","721191","718417","714998","711942","696462","694712"
"DE80","984010","980250","965517","954089","941654","929449","921958","914036","881937","875885"
"DE91","945765","956443","950515","949101","947972","944583","937954","933739","929924","928390"
