"region_id","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"BE10","78269.0","79083.0","76923.0","76814.0","77144.0","77902.0","78039.0","79273.0","83831.0","86553.0"
"BE21","109624.0","108977.0","107722.0","106372.0","105927.0","105858.0","105560.0","105471.0","106705.0","108293.0"
"BE22","51462.0","50732.0","49342.0","48357.0","47299.0","47359.0","47070.0","47271.0","47413.0","47483.0"
"BE23","87434.0","87114.0","86707.0","86393.0","85950.0","86255.0","86589.0","86577.0","87067.0","87527.0"
"BE24","66656.0","66784.0","66703.0","66608.0","66928.0","67262.0","67259.0","67808.0","68557.0","69545.0"
"BE25","71457.0","70480.0","69345.0","68115.0","67122.0","66083.0","65356.0","64797.0","64765.0","64665.0"
"BE31","26153.0","26076.0","25749.0","25383.0","25216.0","25213.0","25470.0","25499.0","25647.0","25702.0"
"BE32","83298.0","82093.0","80453.0","79306.0","79285.0","80225.0","81230.0","82173.0","82470.0","82627.0"
"BE33","71373.0","70004.0","68643.0","67595.0","66886.0","66946.0","67320.0","67804.0","68205.0","68436.0"
"BE34","18184.0","18515.0","18371.0","17952.0","17994.0","18466.0","18760.0","18919.0","19039.0","18892.0"
"BE35","31658.0","31402.0","31182.0","30567.0","30569.0","30748.0","31157.0","31417.0","31394.0","31392.0"
"BG31","35721.0","32900.0","30538.0","28394.0","26457.0","25720.0","26613.0","26052.0","26076.0","26293.0"
"BG32","40444.0","36992.0","34108.0","31059.0","27711.0","25259.0","25611.0","25562.0","26291.0","27027.0"
"BG33","49816.0","45405.0","41599.0","38291.0","34971.0","33039.0","34022.0","34504.0","35369.0","36709.0"
"BG34","51396.0","46762.0","43181.0","40163.0","37309.0","36154.0","37339.0","36945.0","37309.0","38380.0"
"BG41","128607.0","118147.0","109986.0","102860.0","95514.0","90373.0","90210.0","89943.0","93512.0","95887.0"
"BG42","73458.0","67335.0","62619.0","58260.0","53664.0","51528.0","52884.0","52493.0","53583.0","55170.0"
"CZ01","65740.0","62181.0","58818.0","56819.0","55105.0","54717.0","52749.0","55225.0","63416.0","67668.0"
"CZ02","73074.0","70081.0","66313.0","63566.0","60904.0","59461.0","58709.0","60041.0","64030.0","66007.0"
"CZ03","71321.0","67570.0","63410.0","60465.0","57404.0","55724.0","54367.0","54917.0","58996.0","60185.0"
"CZ04","68255.0","64754.0","60576.0","57360.0","54305.0","52365.0","51465.0","51829.0","54067.0","54791.0"
"CZ05","91244.0","86700.0","81552.0","77315.0","73503.0","71807.0","70311.0","70346.0","73312.0","73632.0"
"CZ06","101950.0","96353.0","90293.0","85205.0","79889.0","76732.0","75168.0","75421.0","79273.0","80558.0"
"CZ07","75190.0","70654.0","65537.0","61389.0","57712.0","55506.0","54156.0","54386.0","56037.0","56429.0"
"CZ08","77215.0","72229.0","67202.0","63079.0","59195.0","56720.0","55051.0","54841.0","55887.0","56540.0"
"DK01","128502.0","131876.0","133324.0","133674.0","132501.0","130155.0","129236.0","130341.0","131190.0","132571.0"
"DK02","41856.0","43666.0","44324.0","43762.0","43331.0","42018.0","40527.0","39857.0","40138.0","40746.0"
"DK03","73945.0","75418.0","76070.0","76284.0","75403.0","73740.0","72034.0","71490.0","70485.0","69899.0"
"DK04","92074.0","94108.0","95606.0","96262.0","96686.0","95512.0","94260.0","94474.0","95023.0","94928.0"
"DK05","40663.0","41681.0","41998.0","41590.0","41069.0","40466.0","39847.0","39285.0","38542.0","37534.0"
"DE11","236658.0","240874.0","241035.0","242688.0","240903.0","239133.0","234242.0","229688.0","226593.0","224573.0"
