"region_id","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"BE10","23.3","23.6","22.4","22.3","22.0","20.6","16.8","16.1","13.1","15.9"
"BE21","13.7","14.4","13.7","13.2","11.0","12.6","11.8","8.4","9.8","9.8"
"BE22","13.0","11.0","10.7","10.8","10.1","9.1","8.9","7.7","7.0","7.8"
"BE23","12.7","10.8","9.9","8.9","10.2","7.7","6.4","6.4","7.6","8.0"
"BE24","10.4","9.6","8.9","8.5","8.4","10.0","8.6","9.4","11.8","10.1"
"BE25","11.7","8.0","8.6","8.7","7.4","9.7","7.5","6.6","7.1","7.6"
"BE31","12.2","14.3","14.6","11.2","12.9","14.1","9.9","7.9","12.8","12.8"
"BE32","25.8","23.1","23.0","20.7","20.6","20.4","19.3","18.4","18.1","17.2"
"BE33","22.8","19.8","18.7","16.9","18.2","18.8","15.1","16.0","18.9","18.4"
"BE34","15.5","15.2","12.5","11.7","11.0","12.1","11.9","10.2","11.0","10.3"
"BE35","19.1","17.7","17.0","15.6","16.5","16.8","13.6","14.6","12.4","15.3"
"BG31","45.3","46.2","36.4","35.0","36.3","39.9","35.9","28.6","30.3","30.3"
"BG32","30.4","25.9","23.8","23.8","19.6","22.0","23.0","20.1","22.2","21.3"
"BG33","24.5","23.6","21.9","23.9","22.5","20.0","21.3","15.7","17.6","17.6"
"BG34","31.7","30.9","27.4","27.5","27.1","29.1","28.4","25.0","22.4","23.9"
"BG41","14.1","16.0","11.7","8.8","7.7","10.1","10.6","10.8","8.6","7.2"
"BG42","26.9","28.7","25.1","26.7","22.3","26.8","23.7","18.9","17.2","17.5"
"CZ01","9.7","6.6","6.8","7.5","6.4","7.2","8.0","7.6","6.9","6.0"
"CZ02","12.6","12.2","10.4","9.9","9.9","13.5","12.4","10.8","11.7","10.4"
"CZ03","11.7","12.7","10.9","10.6","10.8","13.0","12.1","12.6","13.7","11.4"
"CZ04","23.1","19.2","19.1","18.4","18.2","19.7","21.8","18.1","18.0","18.3"
"CZ05","12.4","13.6","11.4","10.4","11.4","12.8","10.2","12.4","12.7","11.1"
"CZ06","12.8","11.8","10.5","10.2","9.3","10.1","13.0","14.0","9.9","9.8"
"CZ07","12.4","13.8","13.3","11.4","13.5","14.4","11.4","13.0","10.8","11.2"
"CZ08","16.9","14.5","12.7","13.5","14.8","15.8","15.1","16.6","15.6","10.7"
"DK01","8.3","7.9","9.4","9.1","9.3","10.1","7.6","7.3","8.4","7.0"
"DK02","13.3","14.4","15.8","13.3","13.0","12.6","13.7","13.0","14.3","12.5"
"DK03","11.7","11.1","13.6","13.1","14.1","12.9","10.6","9.7","10.9","11.4"
"DK04","10.3","10.3","12.8","11.8","10.7","12.9","9.4","10.1","10.6","9.2"
"DK05","12.9","11.3","11.4","13.5","12.9","13.6","11.2","9.7","10.2","9.7"
"DE11","7.9","9.2","8.6","7.6","8.4","9.3","8.2","7.8","9.3","9.8"
"DE12","7.8","7.9","9.2","8.2","7.6","8.5","10.0","9.3","8.6","9.9"
"DE13","8.2","8.5","8.0","7.5","7.7","9.0","9.0","8.9","8.0","8.9"
"DE14","7.6","7.2","7.3","7.0","6.6","9.5","9.6","7.0","7.6","9.4"
"DE21","6.1","7.3","7.0","6.5","5.7","8.5","7.9","5.9","6.5","6.6"
"DE30","13.8","13.5","12.0","11.6","10.5","13.3","13.2","11.1","13.6","13.6"
"DE60","10.2","11.2","10.0","9.0","10.3","10.5","13.1","12.1","11.3","11.2"
"DE71","10.5","11.0","10.1","9.4","9.0","12.3","14.2","11.7","10.6","11.1"
"DE92","11.7","13.0","11.7","11.4","12.2","11.6","10.7","10.4","11.1","9.9"
"DE94","11.6","11.7","9.6","10.2","10.2","7.9","11.1","11.3","11.1","11.7"
"DEA1","13.6","13.3","12.9","12.8","12.7","12.7","13.0","13.5","13.7","11.8"
"DEA2","11.4","10.0","10.2","10.1","9.2","11.3","11.1","10.3","8.9","8.6"
"DEA3","11.3","11.5","10.3","10.7","9.9","8.8","11.5","11.0","11.7","9.8"
"DEA4","10.7","12.1","10.9","9.6","9.3","12.8","11.2","10.2","8.6","8.6"
"DEA5","11.9","14.0","13.1","11.2","11.1","13.1","12.3","12.1","12.3","11.1"
"DEB3","11.1","11.8","11.3","10.5","10.6","10.4","10.6","10.0","10.3","10.6"
"DEF0","11.6","11.5","11.0","10.6","9.4","11.5","10.5","11.2","11.1","11.1"
"EE00","14.8","16.1","13.5","13.0","12.5","14.2","13.0","12.1","11.0","12.9"
"IE04","22.4","17.6","14.4","15.3","15.9","18.9","12.4","11.0","11.0","10.2"
"IE05","20.1","15.7","15.3","14.5","14.7","16.1","12.4","11.2","10.8","8.9"
"IE06","17.3","16.2","14.3","12.3","11.4","15.8","11.3","10.1","10.0","9.3"
"EL30","24.1","20.9","20.8","20.3","18.1","17.8","16.4","13.4","16.6","14.5"
"EL41","32.1","30.6","35.6","32.7","32.3","33.9","27.5","24.3","24.1","25.3"
"EL42","29.9","34.7","33.6","27.2","25.5","39.4","26.2","22.0","24.2","28.5"
"EL43","30.1","25.6","23.6","20.5","20.6","22.9","23.3","18.8","20.1","19.3"
"EL51","34.4","33.5","30.5","29.5","26.7","33.1","35.2","25.4","26.8","26.5"
"EL52","29.0","26.8","24.5","22.3","20.6","21.3","22.9","21.0","20.0","19.5"
