"region_id","indicator","year","value"
"BE10","pop_tot_Sheet_9",2015,"52038.0"
"BE10","pop_tot_Sheet_9",2016,"52493.0"
"BE10","pop_tot_Sheet_9",2017,"53547.0"
"BE10","pop_tot_Sheet_9",2018,"53866.0"
"BE10","pop_tot_Sheet_9",2019,"54802.0"
"BE10","pop_tot_Sheet_9",2020,"55843.0"
"BE10","pop_tot_Sheet_9",2021,"57151.0"
"BE10","pop_tot_Sheet_9",2022,"57776.0"
"BE10","pop_tot_Sheet_9",2023,"59194.0"
"BE10","pop_tot_Sheet_9",2024,"60271.0"
"BE21","pop_tot_Sheet_9",2015,"107002.0"
"BE21","pop_tot_Sheet_9",2016,"109469.0"
"BE21","pop_tot_Sheet_9",2017,"112423.0"
"BE21","pop_tot_Sheet_9",2018,"114389.0"
"BE21","pop_tot_Sheet_9",2019,"116839.0"
"BE21","pop_tot_Sheet_9",2020,"119684.0"
"BE21","pop_tot_Sheet_9",2021,"121469.0"
"BE21","pop_tot_Sheet_9",2022,"123747.0"
"BE21","pop_tot_Sheet_9",2023,"126190.0"
"BE21","pop_tot_Sheet_9",2024,"128073.0"
"BE22","pop_tot_Sheet_9",2015,"56191.0"
"BE22","pop_tot_Sheet_9",2016,"57563.0"
"BE22","pop_tot_Sheet_9",2017,"58697.0"
"BE22","pop_tot_Sheet_9",2018,"59868.0"
"BE22","pop_tot_Sheet_9",2019,"61230.0"
"BE22","pop_tot_Sheet_9",2020,"62725.0"
"BE22","pop_tot_Sheet_9",2021,"63781.0"
"BE22","pop_tot_Sheet_9",2022,"65137.0"
"BE22","pop_tot_Sheet_9",2023,"66269.0"
"BE22","pop_tot_Sheet_9",2024,"66994.0"
"BE23","pop_tot_Sheet_9",2015,"86868.0"
"BE23","pop_tot_Sheet_9",2016,"88418.0"
"BE23","pop_tot_Sheet_9",2017,"90097.0"
"BE23","pop_tot_Sheet_9",2018,"91840.0"
"BE23","pop_tot_Sheet_9",2019,"94166.0"
"BE23","pop_tot_Sheet_9",2020,"96127.0"
"BE23","pop_tot_Sheet_9",2021,"97716.0"
"BE23","pop_tot_Sheet_9",2022,"99382.0"
"BE23","pop_tot_Sheet_9",2023,"101476.0"
"BE23","pop_tot_Sheet_9",2024,"103118.0"
"BE24","pop_tot_Sheet_9",2015,"65957.0"
"BE24","pop_tot_Sheet_9",2016,"67229.0"
"BE24","pop_tot_Sheet_9",2017,"68835.0"
"BE24","pop_tot_Sheet_9",2018,"70542.0"
"BE24","pop_tot_Sheet_9",2019,"71920.0"
"BE24","pop_tot_Sheet_9",2020,"73525.0"
"BE24","pop_tot_Sheet_9",2021,"74906.0"
"BE24","pop_tot_Sheet_9",2022,"76081.0"
"BE24","pop_tot_Sheet_9",2023,"77016.0"
"BE24","pop_tot_Sheet_9",2024,"78176.0"
"BE25","pop_tot_Sheet_9",2015,"75386.0"
"BE25","pop_tot_Sheet_9",2016,"77024.0"
