"region_id","indicator","year","value"
"BE10","y_nw_ned_nt_pc_18_29_y",2015,"101340.0"
"BE10","y_nw_ned_nt_pc_18_29_y",2016,"103918.0"
"BE10","y_nw_ned_nt_pc_18_29_y",2017,"102944.0"
"BE10","y_nw_ned_nt_pc_18_29_y",2018,"103405.0"
"BE10","y_nw_ned_nt_pc_18_29_y",2019,"104455.0"
"BE10","y_nw_ned_nt_pc_18_29_y",2020,"105361.0"
"BE10","y_nw_ned_nt_pc_18_29_y",2021,"105660.0"
"BE10","y_nw_ned_nt_pc_18_29_y",2022,"105670.0"
"BE10","y_nw_ned_nt_pc_18_29_y",2023,"109146.0"
"BE10","y_nw_ned_nt_pc_18_29_y",2024,"111078.0"
"BE21","y_nw_ned_nt_pc_18_29_y",2015,"114824.0"
"BE21","y_nw_ned_nt_pc_18_29_y",2016,"116878.0"
"BE21","y_nw_ned_nt_pc_18_29_y",2017,"118470.0"
"BE21","y_nw_ned_nt_pc_18_29_y",2018,"120143.0"
"BE21","y_nw_ned_nt_pc_18_29_y",2019,"120738.0"
"BE21","y_nw_ned_nt_pc_18_29_y",2020,"120657.0"
"BE21","y_nw_ned_nt_pc_18_29_y",2021,"119317.0"
"BE21","y_nw_ned_nt_pc_18_29_y",2022,"118412.0"
"BE21","y_nw_ned_nt_pc_18_29_y",2023,"118823.0"
"BE21","y_nw_ned_nt_pc_18_29_y",2024,"119609.0"
"BE22","y_nw_ned_nt_pc_18_29_y",2015,"50301.0"
"BE22","y_nw_ned_nt_pc_18_29_y",2016,"51087.0"
"BE22","y_nw_ned_nt_pc_18_29_y",2017,"51523.0"
"BE22","y_nw_ned_nt_pc_18_29_y",2018,"51958.0"
"BE22","y_nw_ned_nt_pc_18_29_y",2019,"51957.0"
"BE22","y_nw_ned_nt_pc_18_29_y",2020,"51539.0"
"BE22","y_nw_ned_nt_pc_18_29_y",2021,"50527.0"
"BE22","y_nw_ned_nt_pc_18_29_y",2022,"49562.0"
"BE22","y_nw_ned_nt_pc_18_29_y",2023,"49645.0"
"BE22","y_nw_ned_nt_pc_18_29_y",2024,"49302.0"
"BE23","y_nw_ned_nt_pc_18_29_y",2015,"91669.0"
"BE23","y_nw_ned_nt_pc_18_29_y",2016,"94136.0"
"BE23","y_nw_ned_nt_pc_18_29_y",2017,"95799.0"
"BE23","y_nw_ned_nt_pc_18_29_y",2018,"97048.0"
"BE23","y_nw_ned_nt_pc_18_29_y",2019,"98227.0"
"BE23","y_nw_ned_nt_pc_18_29_y",2020,"98506.0"
"BE23","y_nw_ned_nt_pc_18_29_y",2021,"98032.0"
"BE23","y_nw_ned_nt_pc_18_29_y",2022,"97663.0"
"BE23","y_nw_ned_nt_pc_18_29_y",2023,"98407.0"
"BE23","y_nw_ned_nt_pc_18_29_y",2024,"98488.0"
"BE24","y_nw_ned_nt_pc_18_29_y",2015,"63494.0"
"BE24","y_nw_ned_nt_pc_18_29_y",2016,"65296.0"
"BE24","y_nw_ned_nt_pc_18_29_y",2017,"66458.0"
"BE24","y_nw_ned_nt_pc_18_29_y",2018,"67294.0"
"BE24","y_nw_ned_nt_pc_18_29_y",2019,"67930.0"
"BE24","y_nw_ned_nt_pc_18_29_y",2020,"68674.0"
"BE24","y_nw_ned_nt_pc_18_29_y",2021,"68228.0"
"BE24","y_nw_ned_nt_pc_18_29_y",2022,"68143.0"
"BE24","y_nw_ned_nt_pc_18_29_y",2023,"68160.0"
"BE24","y_nw_ned_nt_pc_18_29_y",2024,"68203.0"
"BE25","y_nw_ned_nt_pc_18_29_y",2015,"66267.0"
"BE25","y_nw_ned_nt_pc_18_29_y",2016,"67561.0"
"BE25","y_nw_ned_nt_pc_18_29_y",2017,"68776.0"
"BE25","y_nw_ned_nt_pc_18_29_y",2018,"70074.0"
"BE25","y_nw_ned_nt_pc_18_29_y",2019,"70769.0"
"BE25","y_nw_ned_nt_pc_18_29_y",2020,"70810.0"
"BE25","y_nw_ned_nt_pc_18_29_y",2021,"70123.0"
"BE25","y_nw_ned_nt_pc_18_29_y",2022,"69193.0"
"BE25","y_nw_ned_nt_pc_18_29_y",2023,"69096.0"
"BE25","y_nw_ned_nt_pc_18_29_y",2024,"68483.0"
"BE31","y_nw_ned_nt_pc_18_29_y",2015,"23140.0"
"BE31","y_nw_ned_nt_pc_18_29_y",2016,"23643.0"
"BE31","y_nw_ned_nt_pc_18_29_y",2017,"23990.0"
"BE31","y_nw_ned_nt_pc_18_29_y",2018,"24156.0"
"BE31","y_nw_ned_nt_pc_18_29_y",2019,"23954.0"
"BE31","y_nw_ned_nt_pc_18_29_y",2020,"23581.0"
"BE31","y_nw_ned_nt_pc_18_29_y",2021,"23139.0"
"BE31","y_nw_ned_nt_pc_18_29_y",2022,"22779.0"
"BE31","y_nw_ned_nt_pc_18_29_y",2023,"22716.0"
"BE31","y_nw_ned_nt_pc_18_29_y",2024,"22614.0"
"BE32","y_nw_ned_nt_pc_18_29_y",2015,"83027.0"
"BE32","y_nw_ned_nt_pc_18_29_y",2016,"84326.0"
"BE32","y_nw_ned_nt_pc_18_29_y",2017,"85079.0"
"BE32","y_nw_ned_nt_pc_18_29_y",2018,"85355.0"
"BE32","y_nw_ned_nt_pc_18_29_y",2019,"84368.0"
"BE32","y_nw_ned_nt_pc_18_29_y",2020,"82780.0"
"BE32","y_nw_ned_nt_pc_18_29_y",2021,"81208.0"
"BE32","y_nw_ned_nt_pc_18_29_y",2022,"80232.0"
"BE32","y_nw_ned_nt_pc_18_29_y",2023,"79642.0"
"BE32","y_nw_ned_nt_pc_18_29_y",2024,"79520.0"
"BE33","y_nw_ned_nt_pc_18_29_y",2015,"72386.0"
"BE33","y_nw_ned_nt_pc_18_29_y",2016,"73663.0"
"BE33","y_nw_ned_nt_pc_18_29_y",2017,"74205.0"
"BE33","y_nw_ned_nt_pc_18_29_y",2018,"74035.0"
"BE33","y_nw_ned_nt_pc_18_29_y",2019,"73109.0"
"BE33","y_nw_ned_nt_pc_18_29_y",2020,"72047.0"
"BE33","y_nw_ned_nt_pc_18_29_y",2021,"70553.0"
"BE33","y_nw_ned_nt_pc_18_29_y",2022,"69597.0"
"BE33","y_nw_ned_nt_pc_18_29_y",2023,"69013.0"
"BE33","y_nw_ned_nt_pc_18_29_y",2024,"68843.0"
"BE34","y_nw_ned_nt_pc_18_29_y",2015,"18156.0"
"BE34","y_nw_ned_nt_pc_18_29_y",2016,"18937.0"
"BE34","y_nw_ned_nt_pc_18_29_y",2017,"18878.0"
"BE34","y_nw_ned_nt_pc_18_29_y",2018,"18926.0"
"BE34","y_nw_ned_nt_pc_18_29_y",2019,"19012.0"
"BE34","y_nw_ned_nt_pc_18_29_y",2020,"18841.0"
"BE34","y_nw_ned_nt_pc_18_29_y",2021,"18847.0"
"BE34","y_nw_ned_nt_pc_18_29_y",2022,"18913.0"
"BE34","y_nw_ned_nt_pc_18_29_y",2023,"18967.0"
"BE34","y_nw_ned_nt_pc_18_29_y",2024,"18902.0"
"BE35","y_nw_ned_nt_pc_18_29_y",2015,"31478.0"
"BE35","y_nw_ned_nt_pc_18_29_y",2016,"32176.0"
"BE35","y_nw_ned_nt_pc_18_29_y",2017,"32368.0"
"BE35","y_nw_ned_nt_pc_18_29_y",2018,"32545.0"
"BE35","y_nw_ned_nt_pc_18_29_y",2019,"32028.0"
"BE35","y_nw_ned_nt_pc_18_29_y",2020,"31640.0"
"BE35","y_nw_ned_nt_pc_18_29_y",2021,"30963.0"
"BE35","y_nw_ned_nt_pc_18_29_y",2022,"30750.0"
"BE35","y_nw_ned_nt_pc_18_29_y",2023,"30405.0"
"BE35","y_nw_ned_nt_pc_18_29_y",2024,"30640.0"
"BG31","y_nw_ned_nt_pc_18_29_y",2015,"39651.0"
"BG31","y_nw_ned_nt_pc_18_29_y",2016,"38928.0"
"BG31","y_nw_ned_nt_pc_18_29_y",2017,"37474.0"
"BG31","y_nw_ned_nt_pc_18_29_y",2018,"35831.0"
"BG31","y_nw_ned_nt_pc_18_29_y",2019,"34155.0"
"BG31","y_nw_ned_nt_pc_18_29_y",2020,"32069.0"
"BG31","y_nw_ned_nt_pc_18_29_y",2021,"30059.0"
"BG31","y_nw_ned_nt_pc_18_29_y",2022,"27604.0"
"BG31","y_nw_ned_nt_pc_18_29_y",2023,"26072.0"
"BG31","y_nw_ned_nt_pc_18_29_y",2024,"25068.0"
"BG32","y_nw_ned_nt_pc_18_29_y",2015,"43607.0"
"BG32","y_nw_ned_nt_pc_18_29_y",2016,"42289.0"
"BG32","y_nw_ned_nt_pc_18_29_y",2017,"40313.0"
"BG32","y_nw_ned_nt_pc_18_29_y",2018,"38118.0"
"BG32","y_nw_ned_nt_pc_18_29_y",2019,"35757.0"
"BG32","y_nw_ned_nt_pc_18_29_y",2020,"32643.0"
"BG32","y_nw_ned_nt_pc_18_29_y",2021,"30016.0"
"BG32","y_nw_ned_nt_pc_18_29_y",2022,"27720.0"
"BG32","y_nw_ned_nt_pc_18_29_y",2023,"25865.0"
"BG32","y_nw_ned_nt_pc_18_29_y",2024,"24515.0"
"BG33","y_nw_ned_nt_pc_18_29_y",2015,"57599.0"
"BG33","y_nw_ned_nt_pc_18_29_y",2016,"55701.0"
"BG33","y_nw_ned_nt_pc_18_29_y",2017,"52731.0"
"BG33","y_nw_ned_nt_pc_18_29_y",2018,"49701.0"
"BG33","y_nw_ned_nt_pc_18_29_y",2019,"46294.0"
"BG33","y_nw_ned_nt_pc_18_29_y",2020,"42336.0"
"BG33","y_nw_ned_nt_pc_18_29_y",2021,"39848.0"
"BG33","y_nw_ned_nt_pc_18_29_y",2022,"37066.0"
"BG33","y_nw_ned_nt_pc_18_29_y",2023,"35384.0"
"BG33","y_nw_ned_nt_pc_18_29_y",2024,"34284.0"
"BG34","y_nw_ned_nt_pc_18_29_y",2015,"61929.0"
"BG34","y_nw_ned_nt_pc_18_29_y",2016,"60423.0"
"BG34","y_nw_ned_nt_pc_18_29_y",2017,"57661.0"
"BG34","y_nw_ned_nt_pc_18_29_y",2018,"54259.0"
"BG34","y_nw_ned_nt_pc_18_29_y",2019,"50502.0"
"BG34","y_nw_ned_nt_pc_18_29_y",2020,"46571.0"
"BG34","y_nw_ned_nt_pc_18_29_y",2021,"43202.0"
"BG34","y_nw_ned_nt_pc_18_29_y",2022,"39665.0"
"BG34","y_nw_ned_nt_pc_18_29_y",2023,"37645.0"
"BG34","y_nw_ned_nt_pc_18_29_y",2024,"36315.0"
"BG41","y_nw_ned_nt_pc_18_29_y",2015,"155124.0"
"BG41","y_nw_ned_nt_pc_18_29_y",2016,"153503.0"
"BG41","y_nw_ned_nt_pc_18_29_y",2017,"147345.0"
"BG41","y_nw_ned_nt_pc_18_29_y",2018,"139753.0"
"BG41","y_nw_ned_nt_pc_18_29_y",2019,"130677.0"
"BG41","y_nw_ned_nt_pc_18_29_y",2020,"121360.0"
"BG41","y_nw_ned_nt_pc_18_29_y",2021,"112534.0"
"BG41","y_nw_ned_nt_pc_18_29_y",2022,"104800.0"
"BG41","y_nw_ned_nt_pc_18_29_y",2023,"99600.0"
"BG41","y_nw_ned_nt_pc_18_29_y",2024,"96468.0"
"BG42","y_nw_ned_nt_pc_18_29_y",2015,"87658.0"
"BG42","y_nw_ned_nt_pc_18_29_y",2016,"85049.0"
"BG42","y_nw_ned_nt_pc_18_29_y",2017,"80931.0"
"BG42","y_nw_ned_nt_pc_18_29_y",2018,"76053.0"
"BG42","y_nw_ned_nt_pc_18_29_y",2019,"71143.0"
"BG42","y_nw_ned_nt_pc_18_29_y",2020,"65556.0"
"BG42","y_nw_ned_nt_pc_18_29_y",2021,"62077.0"
"BG42","y_nw_ned_nt_pc_18_29_y",2022,"58164.0"
"BG42","y_nw_ned_nt_pc_18_29_y",2023,"55747.0"
"BG42","y_nw_ned_nt_pc_18_29_y",2024,"53988.0"
"CZ01","y_nw_ned_nt_pc_18_29_y",2015,"89167.0"
"CZ01","y_nw_ned_nt_pc_18_29_y",2016,"87856.0"
"CZ01","y_nw_ned_nt_pc_18_29_y",2017,"87431.0"
"CZ01","y_nw_ned_nt_pc_18_29_y",2018,"86178.0"
"CZ01","y_nw_ned_nt_pc_18_29_y",2019,"84768.0"
"CZ01","y_nw_ned_nt_pc_18_29_y",2020,"82699.0"
"CZ01","y_nw_ned_nt_pc_18_29_y",2021,"74814.0"
"CZ01","y_nw_ned_nt_pc_18_29_y",2022,"73996.0"
"CZ01","y_nw_ned_nt_pc_18_29_y",2023,"79198.0"
"CZ01","y_nw_ned_nt_pc_18_29_y",2024,"78417.0"
"CZ02","y_nw_ned_nt_pc_18_29_y",2015,"81258.0"
"CZ02","y_nw_ned_nt_pc_18_29_y",2016,"80627.0"
"CZ02","y_nw_ned_nt_pc_18_29_y",2017,"80336.0"
"CZ02","y_nw_ned_nt_pc_18_29_y",2018,"80130.0"
"CZ02","y_nw_ned_nt_pc_18_29_y",2019,"80207.0"
"CZ02","y_nw_ned_nt_pc_18_29_y",2020,"78697.0"
"CZ02","y_nw_ned_nt_pc_18_29_y",2021,"73573.0"
"CZ02","y_nw_ned_nt_pc_18_29_y",2022,"70252.0"
"CZ02","y_nw_ned_nt_pc_18_29_y",2023,"70234.0"
"CZ02","y_nw_ned_nt_pc_18_29_y",2024,"67133.0"
"CZ03","y_nw_ned_nt_pc_18_29_y",2015,"78960.0"
"CZ03","y_nw_ned_nt_pc_18_29_y",2016,"78558.0"
"CZ03","y_nw_ned_nt_pc_18_29_y",2017,"77997.0"
"CZ03","y_nw_ned_nt_pc_18_29_y",2018,"76920.0"
"CZ03","y_nw_ned_nt_pc_18_29_y",2019,"76321.0"
"CZ03","y_nw_ned_nt_pc_18_29_y",2020,"75028.0"
"CZ03","y_nw_ned_nt_pc_18_29_y",2021,"69515.0"
"CZ03","y_nw_ned_nt_pc_18_29_y",2022,"65890.0"
"CZ03","y_nw_ned_nt_pc_18_29_y",2023,"66275.0"
